IRC Token,Amount,No. of Transactions
OMM,3751628.566271872,16425
IUSDC,10043624.615137,9397
sICX,6883519.56589041,9098
bnUSD,4266931.298990352,6400
BALN,737598.4202766854,4582
USDS,7629389.426724686,4033
oIUSDC,2970400.760285,2828
oUSDS,2442668.5558474893,922
PGT,3000.3226615383815,916
METX,380057.87958726677,830
oICX,1492794.5240153125,826
dUSDS,1960374.2358391308,452
dIUSDC,1164089.295584,368
UP,9.731665943448064,122
TAP,1751411.0173503514,85
SEED,1200.453499,66
LDX,3187.0,14
IETH,0.0042449224850840996,3
IAM,3002.006627415187,3
EPX,1.3,1
uETH,0.1,1
uMETX,1.2008816461805971,1
uTAP,0.0028094002122774,1
