delegator,biweek,how_many_prep_voted,raffle_tickets,prize_type,turn,winnings ($ICX),tx
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-03 & 2021-04,100,10,grand_prize,grand,412.5,https://tracker.icon.foundation/transaction/0x68ff56fcac54ac5983a08068b01415bb13a0f11ee4a751f017dc55f2aea748f3
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10,small_prize,first,66,https://tracker.icon.foundation/transaction/0x9d29039a249e90787c1f7f6ed1048a508d1ac469e285826cd58a8e7ed22f3983
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10,small_prize,first,61.88,https://tracker.icon.foundation/transaction/0x61638b40ca8536cd4618f0b0ead0eece4d05160bb688b22c82e5db51eb5b838f
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2021-03 & 2021-04,96,9,small_prize,first,57.75,https://tracker.icon.foundation/transaction/0xa61777c8edccba2c612668bb291592d58e1296bdcebe12780ab100aadbeef380
hx114049660809114582bfc83f66833560544bf877,2021-03 & 2021-04,83,8,small_prize,first,53.62,https://tracker.icon.foundation/transaction/0xa9991e8b78987e21d2c33fab200db19ed3620757fdcae6ab442e88d51529d69f
hx935596bf7dbd20059f11161c460ef3e709f5c5d4,2021-03 & 2021-04,76,7,small_prize,first,45.38,https://tracker.icon.foundation/transaction/0x6c2d4ccd9292eb3cad1013f3bc179f7fedb170222faf77efaf508c1939cc247a
hx049eec5560f8518cffce2ab74fce56ad31fc79c6,2021-03 & 2021-04,56,5,small_prize,first,37.12,https://tracker.icon.foundation/transaction/0xc03b8dcd4a4f4619de8dab8fcb832ae8d845b80fac16f03e4eeb07a5aa9a8ae2
hxd2fe38548f3f4a8c545112582c668913a85d4b93,2021-03 & 2021-04,44,4,small_prize,first,28.88,https://tracker.icon.foundation/transaction/0xecfef013d4d42fe49480493f8a022cb906f0d3aab119b4f2f89c2b3d10537ac0
hxaf0882e1856ba71a69408edea4c244f706ac622e,2021-03 & 2021-04,39,3,small_prize,first,24.75,https://tracker.icon.foundation/transaction/0xae90c5e8ee692d4987ade2cba9fdb73b6b4c5a0dd8bbf8f066f1647cba3c150c
hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,2021-03 & 2021-04,28,2,small_prize,first,20.62,https://tracker.icon.foundation/transaction/0xec97f623342e231d535e569211b899e720c1b4f8b606d623a311c8bd85c0017e
hxbc6d22592d5e18ae00f2e64c7e541317889bf69b,2021-03 & 2021-04,11,1,small_prize,first,16.5,https://tracker.icon.foundation/transaction/0x6db3a5ab9f2a083a8f8dce073d27dfa7e55c3c473085ee3e08701592b7962571
