delegator,biweek,how_many_prep_voted,raffle_tickets
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-03 & 2021-04,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-03 & 2021-04,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-03 & 2021-04,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-03 & 2021-04,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-03 & 2021-04,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-03 & 2021-04,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-03 & 2021-04,100,10
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2021-03 & 2021-04,100,10
