IRC Token,Amount,No. of Transactions
sICX,3605356.538148555,4028
bnUSD,2864486.9623280345,3965
BALN,359046.2408414365,2132
OMM,3273211.9003438293,1813
METX,6155123.103895911,1333
USDS,752601.4398962322,889
IUSDC,208446.996225,762
GBET,833264.053904203,334
oICX,389145.1271179214,136
obnUSD,308413.18896631425,127
oIUSDC,44590.19437,117
CFT,206309.07591015345,98
dIUSDC,11969.914962,68
dbnUSD,95419.39711978158,65
LDX,10700.0,51
TAP,906084.329319601,48
oUSDS,29747.36193381756,42
UP,3.953602142547877,39
IUSDT,3010.224002,35
dUSDS,96300.85536271181,34
LEND5,525.2,8
MRPRO,400.0,4
HGC,8250.0,3
ICXIOU,10270.188,2
SEED,18.890131,1
