IRC Token,Amount,No. of Transactions
OMM,4920181.53233976,31993
sICX,32662410.012206417,20001
IUSDC,58272892.24266,16084
bnUSD,5126763.780848426,10548
USDS,23749589.031301986,8498
BALN,851875.6739089894,5030
oUSDS,7108646.897946667,3063
oIUSDC,21931878.860655,3012
METX,913415.6857788417,2513
PGT,3000.3089797479174,2087
oICX,8320177.640188999,2057
dIUSDC,7350329.046397,923
dUSDS,4876789.162479071,910
UP,894.1724211325247,98
LDX,2384.0,81
TAP,748024.3022799703,60
SEED,139.971726,48
ACT,1610.0,16
ICXIOU,2806.19157999,7
EPX,21.099999999999998,7
IAM,4189.298201600558,6
SSX,96443.7930224,1
uMETX,10.268158751640035,1
uUP,629.8762677462721,1
