Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0027,unknown_hx,0,0,unknown_hx
2,0.0025,bithumb_1,0,0,bithumb
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.003287,IAM Token,0,0,iAM 
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.00624,rev_share,8,0,rev_share
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.074173,unknown_cx,1,3,Bridge
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.0025,unknown_hx,0,0,unknown_hx
2,0.005686500000000001,SEED,6,0,SEED
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
