IRC Token,Amount,No. of Transactions
bnUSD,3916052.1855179267,5938
sICX,4156407.264294478,5867
BALN,563663.9726904578,2857
OMM,2262679.141093971,2157
IUSDC,1572911.345954,1333
METX,1980985.712983803,1224
CFT,2159019.4831720083,1111
USDS,947719.8341690844,1052
PGT,3000.0,493
oIUSDC,440286.492688,227
GBET,114939.0,220
oICX,539565.9794328497,172
obnUSD,420083.46297486016,111
oUSDS,224789.48282019587,86
IUSDT,15055.833006,77
dIUSDC,235289.144014,68
dbnUSD,65439.77606555196,57
TAP,485133.30675691727,42
dUSDS,131833.3717601233,38
UP,101.5746325249715,27
ICXIOU,3252.34577,9
LDX,4250.0,6
ACT,300.0,3
HGC,8000.0,1
CODA,253.7567772467676,1
