IRC Token,Amount,No. of Transactions
BALN,1151605.2863879919,5761
sICX,9516624.153159482,5688
bnUSD,6112724.158695396,5126
OMM,2253899.032643389,5015
GBET,1533858.4779270652,1949
USDS,1176729.5930246678,762
IUSDC,524347.506961,695
oICX,1989824.2766932824,485
METX,674133.0199938188,243
obnUSD,587813.4240007357,136
oOMM,36036.7561178976,101
oUSDS,333873.87896356214,91
CFT,1041620.6887438571,90
oIUSDC,112369.513668,79
dbnUSD,269262.8217851331,59
TAP,684391.1268308094,44
IUSDT,1482554.552257,39
dIUSDC,62331.078336,28
oBALN,68544.4510209906,26
dUSDS,95525.94376463482,24
UP,3.010067421625073,22
ICXIOU,12108.16199,9
dBALN,36.05407337728116,7
LDX,3850.0,7
HGC,20000.0,1
IORC,9.99e-05,1
