IRC Token,Amount,No. of Transactions
OMM,1973989.1451120384,9658
BALN,515899.326730526,7660
sICX,6606681.769518527,6278
bnUSD,2612993.168606274,3875
LDX,413255.34765625,3272
IUSDC,3269802.784325,2974
USDS,1912013.881072941,2140
oICX,1514263.8862561758,436
oUSDS,624407.1697000576,265
dIUSDC,668455.913014,174
METX,471712.53706563107,163
dUSDS,454570.3568979495,112
oIUSDC,1170743.556585,105
UP,7.3528517660356,84
TAP,1178896.7301042774,56
SEED,16944.755888,46
IWIN,194.38,6
HGC,8750.0,3
EPX,1.9500000000000002,3
uSEED,0.0004105187918898,1
ACT,100.0,1
ICXIOU,1010.0,1
uTAP,3.17030817262e-05,1
