IRC Token,Amount,No. of Transactions
sICX,9322820.015338268,9210
bnUSD,16843821.096827365,9042
BALN,1620252.8785414528,8518
OMM,3248074.6592724198,7241
IUSDC,8726802.036952,2364
USDS,1398515.7902215705,2017
METX,1965617.572815096,1761
CFT,5323680.6745561045,805
PGT,3000.000690387174,509
IUSDT,113477.832769,496
oIUSDC,2330433.413238,291
oICX,794267.1025887241,290
obnUSD,1975123.541771128,276
dbnUSD,1406802.26886861,159
oUSDS,394863.18359637243,151
EPX,33189.50248539,121
GBET,70508.0,117
TAP,1357667.5607988508,76
dUSDS,119146.66235662096,60
dIUSDC,1411527.510388,47
UP,5.906074432390716,45
ACT,900.0,9
LDX,1819716.0,6
HGC,17500.0,2
IAM,1202.583022548183,1
SEED,102.602078,1
