IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,491661.8625168024,1083,,
FRMD,27838.81982911538,1051,,
bnUSD,145475.2985086458,940,,
GBET,192227.08941996677,631,,
CFT,3740937.260935898,273,,
BALN,101855.1811280879,246,,
$unknown,5011.903865808849,150,,
CODE,555554.0,141,,
OMM,720831.3805569093,109,,
FIN,10003.680391431726,103,,
CROWN,1203043.306300191,96,,
USDS,8922.834912158576,39,,
IUSDC,483.100561,33,,
XCROWN,49777.376893857,19,,
BUSD,38803.569453846736,19,,
IAM,3109.9821551185196,16,,
NPT,1066.65,15,,
METX,769836.831955898,11,,
VOID,2644.2026325500055,9,,
BTCB,0.02387993150943452,7,,
finOMM,186.16820753286493,4,,
finMICX,96.05266430741247,2,,
oICX,2844.7920430480635,2,,
UP,0.05281247345501806,1,,
