IRC Token,Amount,No. of Transactions
sICX,1825517.7625350454,3903
bnUSD,3929678.7987892623,3641
BALN,324834.1895131487,2948
OMM,1828144.2733414602,2355
METX,2675432.122148759,1326
IUSDC,4345950.355754,1299
USDS,1860508.4982473524,1137
GBET,66103.0,350
oIUSDC,1385012.701995,231
CFT,149996.42952062967,183
oUSDS,419557.75551161467,148
oICX,122180.50529936492,133
obnUSD,784182.5178425465,119
IUSDT,3083.902804,107
dIUSDC,71381.216778,67
dUSDS,335662.05285125796,58
UP,4.8565550537129925,54
TAP,1166943.6083338223,49
dbnUSD,372805.87865000695,45
LDX,2760.0,9
ICXIOU,906.29343691,5
SEED,321.865613,3
ACT,300.0,3
PGT,618.899820297016,1
