IRC Token,Amount,No. of Transactions
bnUSD,18486494.47607957,7421
sICX,3417403.443186988,5543
OMM,3184373.7073493106,3903
USDS,5337827.4596711565,3524
METX,27002641.5064059,3210
IUSDC,16042373.650055,2795
BALN,379723.85490308225,2380
IUSDT,122848.755289,581
CFT,63677.87664942864,534
obnUSD,5735722.309963524,386
oUSDS,1645525.5506047173,322
oIUSDC,4605832.391726,322
oICX,823980.1211159655,308
GBET,73934.0,278
dIUSDC,4705011.934773,265
dbnUSD,4341283.288171611,263
dUSDS,1481130.3221466334,175
LDX,2266.0,86
UP,9.29700929423833,72
TAP,2047217.7442779173,64
SEED,243.245527,36
ACT,400.0,4
ICXIOU,1150.935917,2
SSX,3840.0,1
