IRC Token,Amount,No. of Transactions
OMM,2586130.5920806467,8006
BALN,479292.21165678115,7007
sICX,3444748.7623262512,6090
bnUSD,3233274.7115179617,4935
LDX,423495.3671875,3304
IUSDC,1800678.833295,2618
USDS,864437.4238550329,2331
METX,1189808.0632923127,2122
CFT,4142752.8895943966,1121
IUSDT,43491.969241,844
PGT,3002.7934964139704,565
oUSDS,300642.6085743431,248
oICX,234009.99436552994,245
oIUSDC,466480.296401,212
GBET,17912.0,186
dIUSDC,198163.741198,132
TAP,576989.2942470036,107
UP,1.1344975563052726,84
dUSDS,57064.14266814112,54
SEED,41.883093,41
CHKN,216.0,17
ACT,400.0,4
uMETX,234.52904567210194,4
