date,IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD,holders,liquidity
2021/05/25,BALN,579640.5991448226,6256.0,,,,
2021/05/25,sICX,7943762.286399223,4466.0,,,,
2021/05/25,bnUSD,5642495.94876181,4416.0,,,,
2021/05/25,IAM,49294.50053230797,1961.0,,,,
2021/05/25,IWIN,82645.02120000089,1683.0,,,,
2021/05/25,SEED,7047.960010999994,1133.0,,,,
2021/05/25,METX,251404.50714220325,860.0,,,,
2021/05/25,PGT,3000.0,807.0,,,,
2021/05/25,UP,39.79209313945279,287.0,,,,
2021/05/25,TAP,3148377.8541206094,102.0,,,,
2021/05/25,LDX,11520.0,82.0,,,,
2021/05/25,ACT,4441.0,71.0,,,,
2021/05/25,SSX,8417.985267621236,12.0,,,,
2021/05/25,HGC,5500.0,2.0,,,,
2021/05/25,uMETX,67.67994918932132,1.0,,,,
2021/05/25,uSEED,2.1000653931215e-05,1.0,,,,
2021/05/26,BALN,656529.7100689898,6326.0,,,,
2021/05/26,bnUSD,7047411.240630389,4946.0,,,,
2021/05/26,sICX,9287585.86210073,4280.0,,,,
2021/05/26,IAM,19374.201629022587,1950.0,,,,
2021/05/26,IWIN,43092.52879999992,927.0,,,,
2021/05/26,METX,261359.6140557164,865.0,,,,
2021/05/26,PGT,3000.3426745822467,776.0,,,,
2021/05/26,UP,25.31368384284196,222.0,,,,
2021/05/26,TAP,959733.3149062034,103.0,,,,
2021/05/26,SEED,91.058608,55.0,,,,
2021/05/26,ACT,2162.0,31.0,,,,
2021/05/26,LDX,42646.75,31.0,,,,
2021/05/26,SSX,5677.5,16.0,,,,
2021/05/26,uTAP,140.17978544368512,3.0,,,,
2021/05/26,uUP,14.131905924689168,3.0,,,,
2021/05/26,HGC,1000.0,2.0,,,,
2021/05/26,uMETX,78.72115743772278,1.0,,,,
2021/05/26,SPORTS,404429.0,1.0,,,,
2021/05/27,BALN,399264.47533295007,5172.0,,,,
2021/05/27,SEED,33617.71561299999,3861.0,,,,
2021/05/27,bnUSD,3367206.856010344,3215.0,,,,
2021/05/27,IWIN,156224.50800000265,3181.0,,,,
2021/05/27,sICX,4712036.038285585,3061.0,,,,
2021/05/27,IAM,19574.727009567483,1941.0,,,,
2021/05/27,PGT,3057.8938304413045,754.0,,,,
2021/05/27,UP,10.2122661619695,263.0,,,,
2021/05/27,TAP,3330212.4473352903,98.0,,,,
2021/05/27,ACT,4685.0,57.0,,,,
2021/05/27,LDX,4381.0,35.0,,,,
2021/05/27,METX,150812.6831682263,12.0,,,,
2021/05/27,SSX,12720.0,11.0,,,,
2021/05/27,HGC,24000.0,1.0,,,,
2021/05/27,SPORTS,402438.0,1.0,,,,
2021/05/27,uTAP,24.828048647270723,1.0,,,,
2021/05/28,BALN,679511.6085019733,5397.0,,,,
2021/05/28,sICX,9734894.505276475,3969.0,,,,
2021/05/28,bnUSD,6107540.807304312,3849.0,,,,
2021/05/28,IAM,19354.838525806448,1937.0,,,,
2021/05/28,IWIN,43805.78960000064,927.0,,,,
2021/05/28,METX,372424.6105367301,858.0,,,,
2021/05/28,PGT,3000.000000000002,741.0,,,,
2021/05/28,UP,5.4700751027202745,136.0,,,,
2021/05/28,LDX,70997.0,80.0,,,,
2021/05/28,TAP,483516.4253083988,58.0,,,,
2021/05/28,ACT,3291.0,40.0,,,,
2021/05/28,SEED,148.187475,37.0,,,,
2021/05/28,SSX,41440.17138686132,35.0,,,,
2021/05/28,HGC,32000.0,4.0,,,,
2021/05/28,SPORTS,3416929.0,4.0,,,,
2021/05/29,IWIN,292044.9900999963,7253.0,,,,
2021/05/29,BALN,516055.5165761081,4660.0,,,,
2021/05/29,sICX,7229082.956655916,3038.0,,,,
2021/05/29,bnUSD,3308730.538598468,2912.0,,,,
2021/05/29,IAM,19363.630577414955,1934.0,,,,
2021/05/29,METX,377503.1931833495,859.0,,,,
2021/05/29,PGT,3000.006599771579,730.0,,,,
2021/05/29,UP,7.767340028745402,155.0,,,,
2021/05/29,TAP,948610.5802070614,76.0,,,,
2021/05/29,LDX,3675.0,46.0,,,,
2021/05/29,SEED,67.87512100000002,39.0,,,,
2021/05/29,ACT,3104.0,36.0,,,,
2021/05/29,SSX,13317.6,23.0,,,,
2021/05/29,HGC,9500.0,4.0,,,,
2021/05/29,SPORTS,999999.0,1.0,,,,
2021/05/29,uMETX,78.71328532197901,1.0,,,,
2021/05/29,uTAP,36.24531826791949,1.0,,,,
2021/05/30,IWIN,354954.9612000314,7483.0,,,,
2021/05/30,BALN,683215.4431581441,4880.0,,,,
2021/05/30,sICX,20168130.989730183,3004.0,,,,
2021/05/30,bnUSD,3351791.8293376844,2769.0,,,,
2021/05/30,IAM,19397.04688062404,1937.0,,,,
2021/05/30,METX,433818.3605646047,856.0,,,,
2021/05/30,PGT,3000.739853187737,720.0,,,,
2021/05/30,UP,10.45817165053377,204.0,,,,
2021/05/30,ACT,4736.0,85.0,,,,
2021/05/30,LDX,34210.5,76.0,,,,
2021/05/30,TAP,1158210.6650881076,76.0,,,,
2021/05/30,SEED,67.24910100000001,54.0,,,,
2021/05/30,SSX,14265.330083706924,20.0,,,,
