IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD,address,path
bnUSD,10702.0,3240841.337333329,644709.6481984857,4070.0,1.0092143488214926,650650.2277855683,cx88fd7df7ddff82f7cc735c871dc519838cb235bb,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb']"
sICX,12375.0,1599051.6588228683,1918282.6052264562,952.0,0.17415837612513324,334084.98347532965,cx2609b924e33ef00b648a409245c7ea394c467824,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824']"
BST,553.0,7.83452329074775,28.44408643000788,670.0,1.0102662497680415,28.736100525722097,cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cxf14dea1cff7ceb29a46e6d04533a08f84441e41d']"
INJ,81.0,205599.8734005746,3535.513252856148,374.0,15.266889397970047,53976.28979641212,cx4297f4b63262507623b6ad575d0d8dd2db980e4e,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx4297f4b63262507623b6ad575d0d8dd2db980e4e']"
SUI,62.0,250284.45203167785,31487.780875331002,362.0,3.558678250327827,112054.88095212894,cx508002ec116fbf3ab406329c0df28e70d7e75fb3,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx508002ec116fbf3ab406329c0df28e70d7e75fb3']"
AVAX,126.0,284188.0880991902,2073.292303396267,298.0,27.78016294005541,57596.39801071109,cx66a031cc3bd305c76371fb586e93801b948254f0,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx66a031cc3bd305c76371fb586e93801b948254f0']"
wICX,12375.0,1599051.6588228683,1145203.18625781,283.0,0.17415837612513324,199446.72725198872,cx2609b924e33ef00b648a409245c7ea394c467824,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824']"
ETH,226.0,472120.5206494538,19.929291513859887,268.0,2702.045604386686,53849.854533565995,cx288d13e1b63563459a2ac6179f237711f6851cb5,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx288d13e1b63563459a2ac6179f237711f6851cb5']"
BALN,16732.0,316377.47814799286,41267.322794888,198.0,0.15267186066160854,6300.358955618763,cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cxf61cd5a45dc9f91c15aa65831a30a90d59a09619']"
BNB,75.0,224428.94602148357,52.05382422886418,143.0,706.570375675371,36779.69014072829,cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b']"
$unknown,,,0.0,112.0,,,,
SOL,27.0,162504.8670536994,103.653071094,97.0,195.87998581169367,20303.562095231195,cx65c9e3d4fea842e00add0d32a5b4c5e4e04c7a6b,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx65c9e3d4fea842e00add0d32a5b4c5e4e04c7a6b']"
BTC,86.0,571799.1566379116,0.24319063488336107,56.0,97329.6077294687,23669.64909667798,cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb']"
XLM,31.0,98449.24852971242,16923.4263038,44.0,0.3270801397839163,5535.3166410697095,cx518f64edcd35db9044a2de63fdc10abfd5f7d611,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx518f64edcd35db9044a2de63fdc10abfd5f7d611']"
CROWN,1356.0,2076.4736495785614,81015.74213234673,35.0,0.0006093604054946091,49.36778547721349,cx28b2ec885b50c8a93da752f2d0467a67127a70e8,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx28b2ec885b50c8a93da752f2d0467a67127a70e8']"
USDC,91.0,1.0181537437353418,18225.835218,24.0,1.0039136628340297,18297.164991911835,cx22319ac7f412f53eabe3c9827acf5e27e9c6a95f,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx22319ac7f412f53eabe3c9827acf5e27e9c6a95f']"
HVH,180.0,45326.6272614605,689616.6551963805,21.0,0.0020267060595936144,1397.6502538831844,cxe2da9f10bc6e2754347bde2ef73379bd398fd9f3,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cxe2da9f10bc6e2754347bde2ef73379bd398fd9f3']"
mSUI,9.0,0.0,12615.01,21.0,,,cxb8cf9a4700e0c804b780978bf9d9de759c62e787,
