IRC Token,Amount,No. of Transactions
bnUSD,28005377.77982174,26040
sICX,32394743.117092226,17396
BALN,4704239.812783181,6711
OMM,10207251.851222064,4697
LDX,448322.80296875,3256
USDS,2799320.7289096587,2667
IUSDC,2993379.974409,2310
METX,3461676.538654229,1724
GBET,2226013.118464512,1459
oICX,5093947.881439886,672
dbnUSD,1699132.2891307352,378
obnUSD,2476321.9229265987,368
CFT,2643980.276741759,344
oUSDS,672066.0682634008,212
dUSDS,400146.7469514844,191
oIUSDC,637102.171593,170
IUSDT,34169.939354,108
oOMM,112432.14844269308,99
dIUSDC,219066.306739,95
oBALN,314460.66015179537,85
TAP,2814778.845395908,61
UP,8.996822107516595,31
dBALN,115732.43870396371,27
HGC,132500.0,4
IETH,0.0878096025893869,3
