delegator,biweek,how_many_prep_voted,raffle_tickets,prize_type,turn,winnings ($ICX)
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2020-49 & 2020-50,52,5,grand_prize,grand,625
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-49 & 2020-50,100,10,small_prize,first,100
hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,2020-49 & 2020-50,100,10,small_prize,first,93.75
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-49 & 2020-50,100,10,small_prize,second,87.5
hx114049660809114582bfc83f66833560544bf877,2020-49 & 2020-50,79,7,small_prize,first,81.25
hx049eec5560f8518cffce2ab74fce56ad31fc79c6,2020-49 & 2020-50,56,5,small_prize,first,68.75
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-49 & 2020-50,47,4,small_prize,first,56.25
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-49 & 2020-50,34,3,small_prize,first,43.75
hx6017e7e70f316db3dc5eeeb955fc9fe9713a4bb2,2020-49 & 2020-50,20,2,small_prize,first,37.5
hx2b7fd14ca47f8f2e54bafd31b276e7be379b2162,2020-49 & 2020-50,14,1,small_prize,second,31.25
hxda2f396c8f1a50df62b23c1c3d88342ce6939140,2020-49 & 2020-50,11,1,small_prize,first,25
