biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2020-49 & 2020-50,hx20a35d46020b4bd909cbec3cf63604a3bf57dd56,51971.7135,11,1,2713.901,8382.3871,3914.3686,4724.701227,5.22%,16.13%,7.53%,9.09%,1
2020-49 & 2020-50,hx3b77925ce37c0d1d983b3966c2ce6eef49820d44,2682.9447,11,1,0,262.7343,260.77565,223.578725,0.00%,9.79%,9.72%,8.33%,1
2020-49 & 2020-50,hx3f58bdb18ffe94f86dd6619b301519219dd01fb9,23164.6772,11,1,917.3934,2759.6573,2310.6889,2105.879745,3.96%,11.91%,9.98%,9.09%,1
2020-49 & 2020-50,hx414877f3baa492db5ea2d30a8a4b3b1672083e23,121878.5023,11,1,821.8828659,22680.22905,11347.29214,11079.86384,0.67%,18.61%,9.31%,9.09%,1
2020-49 & 2020-50,hx429be0595739d57c5ba5c58807a699a66148fa04,378.1706,11,1,19.053,45.9336,33.259,34.37914545,5.04%,12.15%,8.79%,9.09%,1
2020-49 & 2020-50,hx42d097e451e4fe6bd1f1796027d583fdad537538,732428.1175,11,1,10000,114691.5662,89099.5403,66584.37432,1.37%,15.66%,12.16%,9.09%,1
2020-49 & 2020-50,hx446fe84cf9e0775cf4f6156f2679c70de2d7ae06,10421.9229,11,1,10,1042.2346,1042.2345,947.4475364,0.10%,10.00%,10.00%,9.09%,1
2020-49 & 2020-50,hx460ece412e413fb9a91b80375289153c67b1c41c,8312.3008,11,1,406.3076,1504.1677,602.692,755.6637091,4.89%,18.10%,7.25%,9.09%,1
2020-49 & 2020-50,hx62471b4843bea5f543c9895220b8ba99e1c24846,18003,11,1,209.4016904,4955.17613,770.2572132,1636.636364,1.16%,27.52%,4.28%,9.09%,1
2020-49 & 2020-50,hx642ab198ea3710f4215b5dc9d96c8f1f788114da,7672.2839,11,1,167.6893,1401.0313,692.465,697.4803545,2.19%,18.26%,9.03%,9.09%,1
2020-49 & 2020-50,hx644043b6b33473919cb3a5ba45221e659ab9c665,5495,11,1,11,5351,15,499.5454545,0.20%,97.38%,0.27%,9.09%,0
2020-49 & 2020-50,hx963dd34d07bebb575320d3a81cb0025db2984200,13896.1281,11,1,82.4688,2162.3329,1520.1194,1263.284373,0.59%,15.56%,10.94%,9.09%,1
2020-49 & 2020-50,hx0175d6c7f6cbeb7a3f22198b2d45e76219f3920e,14405.9891,11,1,1009.3339,2047.5063,1297.7151,1309.635373,7.01%,14.21%,9.01%,9.09%,1
2020-49 & 2020-50,hx88d7523fabfc3d2a9933c192455972d64fe14cf0,1108,11,1,9.670021148,316.6789218,49.63217918,100.7272727,0.87%,28.58%,4.48%,9.09%,1
2020-49 & 2020-50,hx8c66e93216fa30a0e89e3678996fc7ea42576d34,762.5636217,11,1,5.633474678,197.2995428,52.43811086,69.32396561,0.74%,25.87%,6.88%,9.09%,1
2020-49 & 2020-50,hx8f3aa15cf5d36b99548ea292dfce34a1d955aa19,1007.8296,11,1,7.8296,100,100,91.62087273,0.78%,9.92%,9.92%,9.09%,1
2020-49 & 2020-50,hx9213dfd0eba46fefff91b5ddc0ccb105a10c0f70,14519.087,11,1,1255.9711,1373.734,1328.6803,1319.917,8.65%,9.46%,9.15%,9.09%,1
2020-49 & 2020-50,hx2a5cee6831ba69cd4a0c67763d5a5fd210b5354d,1181.0492,11,1,4.7588,256.8821,110.2366,107.3681091,0.40%,21.75%,9.33%,9.09%,1
2020-49 & 2020-50,hx93db169bccfe9a8afd6897eb54d4fc5a8d87d25a,3873.965,11,1,74.435,972.4965,223.3052,352.1786364,1.92%,25.10%,5.76%,9.09%,1
2020-49 & 2020-50,hx979089bf1f73d349fe67c30ed0ce72a8801ba221,4322.947208,11,1,0.505566348,2992.301218,3.835199912,392.9952007,0.01%,69.22%,0.09%,9.09%,1
2020-49 & 2020-50,hx03715c57dd9f82177e8a8cdd37abc58c2adac56a,10188.7277,11,1,263.3518,1689.5319,893.4417,926.2479727,2.58%,16.58%,8.77%,9.09%,1
2020-49 & 2020-50,hx9b16229a08c1e7fc03ce5d66266948eccbb8a2f1,1287.2507,11,1,39.0076,169.0329,130.0253,117.0227909,3.03%,13.13%,10.10%,9.09%,1
2020-49 & 2020-50,hx85c203bb27226345baffa75c0d3ef6d0a3132e6b,140860.7618,11,1,1469.6642,26921.6251,10650.5333,12805.5238,1.04%,19.11%,7.56%,9.09%,1
2020-49 & 2020-50,hx096edfdfcca9228b0dfc9eb1ab0667d862de6e1d,3414.7891,11,1,81.838,340,336.9511,310.4353727,2.40%,9.96%,9.87%,9.09%,1
2020-49 & 2020-50,hx644f54f6de6e3b7fc6b7d77e82a57c2273bc0e4d,1263.6304,11,1,12.508,135.9044,122.4123,114.8754909,0.99%,10.76%,9.69%,9.09%,1
2020-49 & 2020-50,hx0e23d151d1fd2c919e2ea613d2d36caa7cabc136,5403.2343,11,1,403.2343,500,500,491.2031182,7.46%,9.25%,9.25%,9.09%,1
2020-49 & 2020-50,hx64e2ed14e6356f8c8385a1335bf301746ef5858a,18712.8209,11,1,542.8247,2000.6913,1803.5533,1701.165536,2.90%,10.69%,9.64%,9.09%,1
2020-49 & 2020-50,hx6691031a225fd28f0efd28c40b29cb9f2a132b74,8515.2795,11,1,0,1409.2426,411.913,567.6853,0.00%,16.55%,4.84%,6.67%,1
2020-49 & 2020-50,hx149d3879d24e7fe5820b590f72fcae78ffbb0042,160019.4096,11,1,13974.8163,14913.0609,14665.86,14547.21905,8.73%,9.32%,9.17%,9.09%,1
2020-49 & 2020-50,hx148782df8c375cc2f647308cf319705736e4b9e7,24028.1644,11,1,52.4761,2571.3262,2377.8107,2184.378582,0.22%,10.70%,9.90%,9.09%,1
2020-49 & 2020-50,hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,5259.7872,11,1,100,750,750,478.1624727,1.90%,14.26%,14.26%,9.09%,1
2020-49 & 2020-50,hx692f8635ab4ca2c624eea17a253a38c99f4471b8,18734.1791,11,1,156.2318,5131.6349,1500,1703.107191,0.83%,27.39%,8.01%,9.09%,1
2020-49 & 2020-50,hx13561355865e509e32f7a27786a6763ba6b1c489,15293.4969,11,1,754.4887,6389.3259,837.7399,1390.3179,4.93%,41.78%,5.48%,9.09%,1
2020-49 & 2020-50,hx6d1285116376e3d554eedeacceffe92bd41d911e,70524.1455,11,1,2859.0763,9017.9008,7982.246,6411.285955,4.05%,12.79%,11.32%,9.09%,1
2020-49 & 2020-50,hx10e528813627c0d63c2641dc741a61507a74c7ce,571.8886,11,1,6.3378,163.0904,19.2947,51.98987273,1.11%,28.52%,3.37%,9.09%,1
2020-49 & 2020-50,hx6d6adbb8dccbbae2c98b9710fc4c2d1caea65dbb,9676.2236,11,1,288.4691,2548.4927,759.1709,879.6566909,2.98%,26.34%,7.85%,9.09%,1
2020-49 & 2020-50,hx816975ca7954845513f88dbb8104bcdb5e3adaed,17272.5696,11,1,170.2738,10318.2928,510.8214,1570.2336,0.99%,59.74%,2.96%,9.09%,1
2020-49 & 2020-50,hx7218420a922b7c23dd029b0f4655586cab81c3cf,18826.1381,11,1,1071.0327,3361.5604,1153.5006,1711.4671,5.69%,17.86%,6.13%,9.09%,1
2020-49 & 2020-50,hx0a636c959e4b43238340a653294cb64bc124be70,155.8819,11,1,13.8901,15.9378,14.0301,14.17108182,8.91%,10.22%,9.00%,9.09%,1
2020-49 & 2020-50,hx75b0ddef1b30693a4805e129c447cb23b6593102,542.4144,11,1,44.4644,50,49.7665,49.3104,8.20%,9.22%,9.18%,9.09%,1
2020-49 & 2020-50,hx7614bf5f9584cda17cf739d63b0e2395fc9edb6b,4544.2172,11,1,65.6254,457.2717,445.3483,413.1106545,1.44%,10.06%,9.80%,9.09%,1
2020-49 & 2020-50,hx7b940c6efec34d3991c9b917362bb1515fe46d4b,98415.5722,11,1,7730.6486,10541.7934,8863.7928,8946.8702,7.86%,10.71%,9.01%,9.09%,1
2020-49 & 2020-50,hx09af69310d44f5b75fd966e4df4ae4a659797fed,111995.6573,11,1,50,33837.3155,113.2346,10181.42339,0.04%,30.21%,0.10%,9.09%,1
2020-49 & 2020-50,hx7e6a0d2acd3677cb45f30ccf31f31fe2a5eb344f,2000.1901,11,1,20.0279,400,200,181.8354636,1.00%,20.00%,10.00%,9.09%,1
2020-49 & 2020-50,hx7f5a1ab47098ca4ad5817e231501d7ffb55f6ca9,995886.1361,11,1,26184.9487,399093.7191,58243.763,90535.10328,2.63%,40.07%,5.85%,9.09%,1
2020-49 & 2020-50,hxfe43e4d0782cc62ff4e9714771ae94d743e27234,11366.5807,11,1,455.6244,1811.1069,1034.5403,1033.325518,4.01%,15.93%,9.10%,9.09%,1
