IRC Token,Amount,No. of Transactions
bnUSD,9342821.613241492,9138
sICX,4795420.9553184025,8457
BALN,1023778.3621935156,4212
OMM,3588382.2913000523,4210
METX,8883662.41225918,3015
IUSDC,1538315.737618,2713
USDS,2529072.1773665086,2425
CFT,5065389.190605421,859
IUSDT,50489.774931,598
obnUSD,2265645.5086212554,294
oICX,751726.1777743922,289
oIUSDC,257645.023243,235
oUSDS,790091.1029437253,209
UP,7.1522108356311405,203
dIUSDC,258268.77819399998,153
dbnUSD,826947.234361853,150
GBET,53046.0,128
SEED,170.892489,101
TAP,1447623.813281881,51
dUSDS,354338.67946937686,43
LDX,2589.0,23
ACT,500.0,5
ICXIOU,3377.94583763,3
uMETX,48.86052687610461,1
uUP,0.0620107060400132,1
