IRC Token,Amount,No. of Transactions
sICX,4828668.934136962,6785
bnUSD,7368989.218587156,6539
BALN,769383.8507330071,4008
OMM,4188860.778940923,3473
LDX,422041.583984375,3199
IUSDC,4408140.324227,2214
METX,2924849.7129467153,1601
USDS,1550389.0625075374,1411
CFT,3370025.677080699,965
PGT,3000.0,504
oICX,638537.2724517492,263
obnUSD,1048205.0462643133,237
oIUSDC,1112923.863053,231
IUSDT,34494.053154,185
GBET,27554.0,179
dbnUSD,323935.4110374589,128
oUSDS,351162.6452461351,122
dIUSDC,779526.028574,103
TAP,558989.3897790984,57
dUSDS,231152.10419182826,46
UP,1.6853346409947811,38
ICXIOU,11348.272603,14
ACT,600.0,6
IAM,14605.456459150882,4
SEED,4204.576015000001,2
HGC,5000.0,1
