IRC Token,Amount,No. of Transactions
bnUSD,4904404.560201198,8640
sICX,13603113.751914576,8049
OMM,3597905.022216412,4726
BALN,796087.9421962044,3763
IUSDC,3974551.820137,3235
USDS,2743284.083913472,2444
METX,10886427.777639728,2231
CFT,625114.5432162152,916
IUSDT,546795.828749,558
GBET,56998.0,294
oIUSDC,1032145.171875,294
UP,7.758207364820251,282
oUSDS,876264.7049064925,270
oICX,5755291.50620862,239
dIUSDC,417433.932286,197
SEED,212.458131,139
TAP,948494.5681844493,76
dUSDS,491895.16505936556,51
LDX,9312.5,12
ACT,500.0,5
uMETX,29.756993382496727,3
PGT,1000.0,1
HGC,15000.0,1
uTAP,15.174723466219744,1
