IRC Token,Amount,No. of Transactions
bnUSD,4069184.4667986627,7623
sICX,4672874.021313736,7139
OMM,1899828.6288601323,3818
BALN,552940.2992915974,3082
USDS,1026145.6404276456,2557
METX,3751595.078824378,2384
IUSDC,1139967.041859,2253
IUSDT,33911.725221,738
CFT,79975.58574686167,666
PGT,3000.0,567
GBET,90202.0,294
oICX,609336.4354537334,219
oUSDS,331938.07700642425,212
oIUSDC,245868.074018,163
dIUSDC,219383.762936,107
UP,1.1515630607460543,60
dUSDS,64694.97806067752,51
TAP,353751.5848584228,47
SEED,27.32246,30
ICXIOU,3300.807162,7
IWIN,378.5055,5
ACT,300.0,3
LDX,1500.0,3
HGC,117500.0,1
EPX,130.0,1
