IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
TAP,1637170.1387633476,2095.0,0.0015467110212472642,2532.229097282183
UP,3.627601279913184,2063.0,2.3111581747846777,8.383960352930716
sICX,3084963.6823394634,1686.0,0.8539070944760954,2634272.3745507672
bnUSD,1473695.4698884473,1550.0,1.0022370982674746,1476992.27147092
GBET,168618.98449362177,1455.0,0.11111908810722888,18736.787794498217
BALN,172385.001546111,1016.0,0.5975884488440742,103015.2856779238
METX,2861624.255133988,897.0,0.000526836494199386,1507.6080902907195
OMM,1392926.3508765905,833.0,0.06717540798224471,93570.39590935431
FIN,18638.1267241694,664.0,2.1171519295528722,39459.7459573262
USDS,1928489.1144535553,317.0,1.0036006561628392,1935432.940668481
IUSDC,299630.552884,306.0,1.0056099019442886,301311.45090519224
finOMM,37753.60277999642,177.0,2.1171519295528722,79930.11297324211
CFT,955037.2627307123,134.0,0.03511237423758759,33533.625779842034
oICX,992330.5875709401,101.0,0.8539070944760954,847358.128792458
obnUSD,497537.42849939,83.0,1.0022370982674746,498650.4686186898
oUSDS,612098.2069658284,72.0,1.0036006561628392,614302.1621470028
dUSDS,384580.5563350906,45.0,1.0036006561628392,385965.2986853667
oIUSDC,73382.657699,44.0,1.0056099019442886,73794.32721310269
oOMM,10080.67,23.0,0.06717540798224471,677.1731199843748
dbnUSD,22356.55527376292,22.0,1.0022370982674746,22406.569084832554
dIUSDC,40615.812552999996,22.0,1.0056099019442886,40843.66327880993
IUSDT,958.709203,20.0,1.0031114195244955,961.6921495325277
IAM,519.0775081526513,17.0,,
finICX,63420.31158122541,12.0,2.1171519295528722,134270.43503703576
finOICX,83650.33684323069,10.0,2.1171519295528722,177100.47205539356
LDX,22947.56651675249,9.0,,
oBALN,21653.772829634763,3.0,0.5975884488440742,12940.0445168834
OWT,1.5,1.0,,
NOTMIRAI,7.0,1.0,0.06717540798224471,0.470227855875713
ICX,,,0.7806561,
