,date,Transactions (fees-incurring),other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,Active wallet count,cx_address_count,tx_fees_L1,tx_fees_DEX,Fees burned,Transactions (MA7),Transactions (MA30),Fees burned (MA7),Fees burned (MA30),Active wallet count (MA7),Active wallet count (MA30)
27,2024-05-07,13684.0,9784.0,43137.0,2120.0,5755.0,966.0,4843.0,4857.0,117.0,457.0436668874999,875.8652197349584,1332.9088866224583,14347.0,,907.5198524097754,,4773.142857142857,
28,2024-05-08,15247.0,10865.0,43155.0,2185.0,6796.0,1330.0,4936.0,5397.0,112.0,472.3351544374998,0.0,472.3351544374998,14197.714285714286,,817.6469324606977,,4849.714285714285,
29,2024-05-09,14971.0,10359.0,43148.0,2163.0,6175.0,1544.0,5089.0,4821.0,118.0,484.2721539249998,3290.333232668934,3774.605386593934,14301.0,15109.3,1148.0463575619262,1282.5545977469533,4867.857142857143,4899.8
30,2024-05-10,14578.0,10012.0,43153.0,2381.0,5755.0,1606.0,4836.0,4728.0,113.0,482.7961106624998,414.3716859912384,897.1677966537382,14266.0,15120.6,1132.3633584600186,1255.1313881136052,4855.285714285715,4896.266666666666
31,2024-05-11,12835.0,8925.0,43157.0,2076.0,4951.0,1022.0,4786.0,4764.0,117.0,202.86043396249988,445.8310379005561,648.691471863056,14198.857142857143,15063.866666666667,1159.0681987386693,1250.4790751546357,4862.0,4892.3
32,2024-05-12,13105.0,9455.0,43120.0,2473.0,5119.0,888.0,4625.0,4708.0,109.0,695.2661073124998,371.4313644840877,1066.6974717965875,14262.714285714286,14898.566666666668,1247.5168426149673,1249.684229778863,4856.0,4887.5
33,2024-05-13,15407.0,10474.0,43142.0,2368.0,6237.0,1772.0,5030.0,4896.0,119.0,495.04485352499984,35.149214068478614,530.1940675934784,14261.0,14756.766666666666,1246.08574793725,1242.7501498191477,4881.571428571428,4886.533333333334
34,2024-05-14,14393.0,10212.0,43137.0,2555.0,5547.0,1370.0,4921.0,4723.0,112.0,514.7297531624998,707.4476941999892,1222.1774473624891,14362.285714285714,14705.7,1230.2669709001116,1254.8916185530109,4862.428571428572,4882.633333333333
35,2024-05-15,14761.0,10310.0,43141.0,2090.0,6087.0,1601.0,4983.0,4760.0,112.0,490.7061221999999,190.9282135214889,681.6343357214888,14292.857142857143,14615.366666666667,1260.1668539406814,1259.7132746383104,4771.428571428572,4855.6
36,2024-05-16,13551.0,9385.0,43151.0,2031.0,5510.0,1139.0,4871.0,4756.0,116.0,465.5551950749998,595.5539055724512,1061.109100647451,14090.0,14543.3,872.5245273768982,1113.5517299007347,4762.142857142857,4852.566666666667
37,2024-05-17,15015.0,10267.0,43143.0,2199.0,6280.0,1504.0,5032.0,4778.0,111.0,489.1661165374998,253.9203860630514,743.0865026005513,14152.42857142857,14534.266666666666,850.5129139407287,1121.8349058740864,4769.285714285715,4849.633333333333
38,2024-05-18,12527.0,8989.0,43144.0,2024.0,5166.0,688.0,4649.0,4663.0,105.0,449.8238784874999,317.86348729634483,767.6873657838447,14108.42857142857,14488.2,867.5123273579844,1135.221871027298,4754.857142857143,4846.4
39,2024-05-19,13272.0,9354.0,43153.0,1978.0,5532.0,962.0,4800.0,4742.0,108.0,453.61881951249984,0.0,453.61881951249984,14132.285714285714,14485.433333333332,779.9296627459718,1147.0563192314646,4759.714285714285,4841.866666666667
40,2024-05-20,18121.0,12023.0,43161.0,2349.0,7976.0,2346.0,5450.0,5400.0,111.0,521.9245416749998,228.51486330261105,750.4394049776108,14520.0,14665.2,811.3932823722764,1129.6763599154306,4831.714285714285,4863.633333333333
41,2024-05-21,16485.0,11142.0,43147.0,2307.0,6996.0,1872.0,5310.0,4875.0,113.0,504.57779034999976,443.4865905288461,948.0643808788459,14818.857142857143,14794.466666666667,772.2342728746131,1112.238681854445,4853.428571428572,4864.6
42,2024-05-22,14708.0,9821.0,43127.0,2127.0,6098.0,1417.0,5066.0,4733.0,112.0,479.1869524749999,3190.0460655907664,3669.2330180657664,14811.285714285714,14825.533333333333,1199.0340846380811,1231.294896435804,4849.571428571428,4842.566666666667
43,2024-05-23,16869.0,10868.0,43134.0,2226.0,6991.0,2110.0,5542.0,4817.0,115.0,507.5115406874998,1258.55209925292,1766.0636399404198,15285.285714285714,14775.8,1299.7418759656482,1283.7624102696516,4858.285714285715,4838.9
