to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,43001,0.0,System,2,43002,System
cx0000000000000000000000000000000000000000,1076,1.8902524999999661,governance,735,0,governance
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,359,30.75480899999999,bnUSD,2288,27,bnUSD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,315,1.6854612624999998,Relay_4,0,0,Relay
cx02da5d1c7f21d9d13534b326fa9a5b7234838221,288,13.74856663749999,ICON Pyth verifier,0,0,ICON Pyth verifier
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,219,1.9232222124999974,Blobble Stake Token,286,2,Blobble
cxb2f67b60ef68f8f239d247e1f23412c0685d4b9b,199,1.2649368499999956,unknown_cx,0,70,unknown_cx
cx69bcdf1753472c1444188ec3f5188657e30c8322,80,0.25681,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
cx5a0af85407c69945eb318d4ac18e9e842184163c,78,5.456075987499998,GangWar Simulation,280,64,GangstaBet
cxba62bb61baf8dd8b6a04633fe33806547785a00c,53,1.6868430625,MyID_3,53,0,MyID
cx2609b924e33ef00b648a409245c7ea394c467824,51,4.863987524999998,sICX,294,10,sICX
cx4297f4b63262507623b6ad575d0d8dd2db980e4e,46,3.919982974999998,Injective,309,5,Injective
cxa0af3165c08318e988cb30993b3048335b94af6c,31,1.1634861874999998,balanced_dex,24,74,Balanced
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,29,2.4180921749999995,Balanced Savings,109,4,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,28,2.7158277874999994,balanced_rewards,121,30,Balanced
cx3975b43d260fb8ec802cef6e60c2f4d07486f11d,25,2.0505536874999994,Wrapped ICX,151,9,Wrapped ICX
cx66d4d90f5f113eba575bf793570135f9b10cece1,21,1.5016451999999993,balanced_loans,49,17,Balanced
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,20,0.1891847499999999,MyID_2,20,0,MyID
cx508002ec116fbf3ab406329c0df28e70d7e75fb3,19,1.0988487749999996,Sui,95,1,Sui
cx66a031cc3bd305c76371fb586e93801b948254f0,17,1.5166915374999996,Avalanche,109,1,Avalanche
cx288d13e1b63563459a2ac6179f237711f6851cb5,14,1.0129531874999995,Ethereum,77,0,Ethereum
cxa07f426062a1384bdd762afa6a87d123fbc81c75,11,1.5153271124999994,xCall,94,47,xCall
cx0000000000000000000000000000000000000001,11,0.1117522374999997,unknown_cx,11,0,unknown_cx
hxb568381d35d3e7a6383200e8a0d30310af20b929,10,0.0125,binance_hot,0,0,binance
cxdbfb9d63e84e6ad6ab301a2f2ef6b6e6e9227cbe,9,0.1279735499999998,unknown_cx,0,9,unknown_cx
cx203d9cd2a669be67177e997b8948ce2c35caffae,8,1.1521027,balanced_dividends,62,0,Balanced
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,8,0.1274094624999998,GangstaVerse LootBox,25,0,GangstaBet
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,7,0.1592173124999996,Balanced Asset Manager,28,7,Balanced
cx43e2eec79eb76293c298f2b17aec06097be606e0,7,0.1563519374999998,balanced_staking,21,1,Balanced
cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,7,0.5751303999999999,Binance Coin,45,2,binance
hx8acbfbf57dfc49f5fa9b1df2fc55fd9216b3e7aa,6,0.0075,unknown_hx,0,0,unknown_hx
cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb,6,0.5699883124999996,Bitcoin,49,2,Bitcoin
cx553b05df18e9d7c00d8bf4675e579cbbb23c4b30,6,0.2582853374999996,OMM Fee Distribution,13,1,Omm
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,6,0.2176730999999999,CROWN,43,0,GangstaBet
hxc70704ca7f499b9e1c484e1f6c07aa56ed5bba7d,5,0.00625,unknown_hx,0,0,unknown_hx
hxa1372bbec1e946dbe7681c28fadaac91b38befd9,5,0.00625,unknown_hx,0,0,unknown_hx
hxc9ca779388556ac054c35e429e1decbb865440c0,5,0.00625,unknown_hx,0,0,unknown_hx
hx6b91c8dea3114de74ecfa85908b875778c2b599c,4,0.005,bybit,0,0,bybit
cx65c9e3d4fea842e00add0d32a5b4c5e4e04c7a6b,4,0.24247533749999972,Solana,22,1,Solana
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,4,0.7960250124999998,balanced_baln,58,1,Balanced
cx518f64edcd35db9044a2de63fdc10abfd5f7d611,4,1.2631954625,Stellar,62,3,Stellar
hx3e99155042f80946cc2867d64beb2404ff796cb3,4,0.005,unknown_hx,0,0,unknown_hx
hx133323c2e990994816b548a9e7eb080a5eac8031,3,0.00375,unknown_hx,0,0,unknown_hx
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,3,0.0122931874999999,Blobble,0,0,Blobble
hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,3,0.00375,bithumb_03,0,0,bithumb
cx2dc662031f3d62bcdba4f63e9bf827767c847565,3,0.1136748375,SkillScore,12,13,SkillScore
hxbdd85cf0362c16689bfc82003425d4ee67afee68,3,0.00375,unknown_hx,0,0,unknown_hx
hxa390d24fdcba68515b492ffc553192802706a121,2,0.0025,bitvavo_hot,0,0,bitvavo
hx9b20bbe4d6cb2fc56fddfe2527e91611c2a362fc,2,0.0025,unknown_hx,0,0,unknown_hx
hx746fcfc42a4b713776ff7bf77b95b228f61a63aa,2,0.0025,unknown_hx,0,0,unknown_hx
hx05a1d1c125186389be9fd5d31d6ad6c5ef418898,2,0.0025,unknown_hx,0,0,unknown_hx
hx5ff6b3fe97d506fc08423907d026433226782879,2,0.0025,unknown_hx,0,0,unknown_hx
hx68646780e14ee9097085f7280ab137c3633b4b5f,2,0.0025,kraken_hot,0,0,kraken
hx6820a240b4a92eb501c76ce303572407a3028fdf,2,0.0025,upbit_hot_04,0,0,upbit
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,2,0.5974941874999999,omm_token,38,4,Omm
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,2,0.3579775249999999,balanced_router,20,3,Balanced
hxd5ace539bf910635c2fa0e9c185d2d3c8d52c4cc,2,0.0025,binance.us,0,0,binance
cxf24179be1153e4a27d0f860d57253fa1ac0ccdfa,2,0.0078058499999999,PresaleMultiToken,2,0,PresaleMultiToken
cxee7a00755a757e3c519a0616456030e33dc9d47f,2,0.045728475,BTP_2,0,6,BTP
cxeaff5a10cb72bf85965b8b4af3e708ab772b7921,2,0.8066591999999999,Boosted OMM Token,43,2,Omm
cx8dc674ce709c518bf1a6058a2722a59f94b6fb7f,2,0.0869875374999999,balanced_staked_lp,0,6,Balanced
hx9400e6c8f6c8fdfa1811e480de56240a35860271,1,0.00125,unknown_hx,0,0,unknown_hx
hxe3ae254c7b0eb1097dae224e5c19016f877b5763,1,0.00125,unknown_hx,0,0,unknown_hx
hx6dda277264882cc0adc6d0d09cb1f87faa4c39ca,1,0.00125,unknown_hx,0,0,unknown_hx
hx707e50b2758d402f0c19dff20400c7576f20635e,1,0.00125,unknown_hx,0,0,unknown_hx
hxdcc4589bb9a438fb43205d7b37a5ba018698e934,1,0.00125,unknown_hx,0,0,unknown_hx
hx8d162772dd9ef1fe0f28b480c544e718f3eb1b9f,1,0.00125,unknown_hx,0,0,unknown_hx
hx8dfbb2561d5f575446f77dd95cc060d5ce247388,1,0.00125,unknown_hx,0,0,unknown_hx
hxc46443a39219632e18a74890d2368c003163e8ca,1,0.00125,unknown_hx,0,0,unknown_hx
hx946ec78523871a85930974feb8d9dc94df0c1402,1,0.00125,unknown_hx,0,0,unknown_hx
hxd78889c980ce82c417d511d4acdf9aee7925927d,1,0.00125,unknown_hx,0,0,unknown_hx
hxbb984f278abd66ae2155edbd91f8c87ce98411c8,1,0.00125,kucoin,0,0,kucoin
hx9d16d8aa352acf005b473c0cc87e34c9f6ce8a35,1,0.00125,unknown_hx,0,0,unknown_hx
hx9d4b2e99716dead1c4356ea2c878861ad9c3aca2,1,0.00125,unknown_hx,0,0,unknown_hx
hxa277f3bca6adc3d97dd8707beb2a2180912c3a04,1,0.00125,unknown_hx,0,0,unknown_hx
hxa5cbeed2f935308d297f24a790605cad36680b05,1,0.00125,unknown_hx,0,0,unknown_hx
hxad585e9ac3c042857477ecdbcb25dfd85f48cbd5,1,0.00125,unknown_hx,0,0,unknown_hx
hxafabbb249527c1472fd4dca3135db35025ad71f7,1,0.00125,unknown_hx,0,0,unknown_hx
hxc69f3dcf0440e0182a30408166805a5530907a94,1,0.00125,unknown_hx,0,0,unknown_hx
hxd6a9c0867b844bd6fb7bbc1c4f6403f3b6385028,1,0.00125,unknown_hx,0,0,unknown_hx
hx0e2756108e96f9e265e2c3b77fc802975dd665d9,1,0.00125,unknown_hx,0,0,unknown_hx
hx620343556ba7c1d71c1548fbb62bfe06c16ab192,1,0.00125,unknown_hx,0,0,unknown_hx
hx1e0aafaa073934c2ed77644ba48cd88780790583,1,0.00125,unknown_hx,0,0,unknown_hx
cx5b5a03cb525a1845d0af3a872d525b18a810acb0,1,0.0116216125,btp-0x38.bsc-BTCB,2,0,BTP
cxc2f3ea1c84cac895b3ab05681705d472002bfb1f,1,1.25,Mojos,0,0,Mojos
cxd08fe6f4cf2b0622aa210b57210feb6fbbe41a3e,1,0.1311924874999999,ICON IRelay Inflation Manager,7,1,Relay
cxdc30a0d3a1f131565c071272a20bc0b06fd4c17b,1,0.222414225,Balanced-ICON Burner,17,1,Balanced
cxfa09b71b9a82abc56678707ac4cbc0437635ff1d,1,0.2322796375,ICON Proof of liquidity Manager,6,3,ICON Proof of liquidity Manager
hx014568b69c81985907075ee2f1f009c797c354e2,1,0.00125,unknown_hx,0,0,unknown_hx
hx024bd80ff1d61997d4ee73d9c852697d32fde0f5,1,0.00125,unknown_hx,0,0,unknown_hx
hx0264761f64c74ff327604250cfa2b66d1fd28e8c,1,0.00125,unknown_hx,0,0,unknown_hx
hx0482480d35fb6f3437e6d4f78e3dcd05e296a5da,1,0.00125,unknown_hx,0,0,unknown_hx
hx06e70141e4970521741fa435aefdf2d642fff1c1,1,0.00125,unknown_hx,0,0,unknown_hx
hx0759b54e7c13b897d7b763aba4078c0d2a6ae7af,1,0.00125,unknown_hx,0,0,unknown_hx
hx0a86520370a6f0114a5d41b3949f773e8db59f05,1,0.00125,unknown_hx,0,0,unknown_hx
hx0b0e004f73617113d56397592d3b44856bb8d54b,1,0.00125,unknown_hx,0,0,unknown_hx
hx109a827e553de8ea0148ac0ffd2c562bf5988b1f,1,0.00125,unknown_hx,0,0,unknown_hx
hx2f1d35d8004bbae1d6d5e779ef2e267c84ab661f,1,0.00125,unknown_hx,0,0,unknown_hx
hx6038fabdeba0a9f5aa8d92bef0e91fd52d8da031,1,0.00125,unknown_hx,0,0,unknown_hx
hx30af1f2d5416517324ac9d8fdcb1a8c809de22e6,1,0.00125,unknown_hx,0,0,unknown_hx
hx32d3066076d19b57bc3dd4bdcf18b83e84cd278a,1,0.00125,unknown_hx,0,0,unknown_hx
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,1,0.00125,unknown_hx,0,0,unknown_hx
hx3dd382bf796234489730a97dd752e235e06ea19e,1,0.00125,unknown_hx,0,0,unknown_hx
hx4031ab962e5e78fd195f91c1ba877c5d0ba63a3e,1,0.00125,unknown_hx,0,0,unknown_hx
hx42554c9b949dcf420bb384476adb35b5b0d60e48,1,0.00125,unknown_hx,0,0,unknown_hx
hx455bcbc0d018da67f4b92c14e61f5b5628f6adfa,1,0.00125,unknown_hx,0,0,unknown_hx
hx470791761244e611519201a9c8a3dd989ceebdcc,1,0.00125,unknown_hx,0,0,unknown_hx
hx4846c4d1e83751f3810fc6b8dabf699cfec5de60,1,0.00125,unknown_hx,0,0,unknown_hx
hx4b275a6441d2ada02e0d63fcdca6a3fc997af124,1,0.00125,unknown_hx,0,0,unknown_hx
hx548ad28ef8d6caed7f27f6001fb7a654ad8cca40,1,0.00125,unknown_hx,0,0,unknown_hx
hx568c9e8115c9f4d4a8bf62835293e4102a1da86d,1,0.00125,unknown_hx,0,0,unknown_hx
hx5d0f4ede2653be1128df93b5a896b309dd547a27,1,0.00125,unknown_hx,0,0,unknown_hx
hx601848df0ef4c106a7d28c2f6978757c8f7d8447,1,0.00125,unknown_hx,0,0,unknown_hx
hxec052dfc0db0ae26086ca78e36a054a8424d3707,1,0.00125,unknown_hx,0,0,Blobble
