to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,42998,0.0,System,1,42999,System
cxb2f67b60ef68f8f239d247e1f23412c0685d4b9b,1277,9.07110144999995,unknown_cx,0,560,unknown_cx
cx0000000000000000000000000000000000000000,1164,2.040854999999964,governance,799,0,governance
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,358,31.01143358749999,bnUSD,1755,77,bnUSD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,295,1.6273501875,Relay_4,0,0,Relay
cx02da5d1c7f21d9d13534b326fa9a5b7234838221,288,13.747556612499992,ICON Pyth verifier,0,0,ICON Pyth verifier
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,214,0.8344796999999979,Blobble Stake Token,199,0,Blobble
cx0a71037191ff6b1f8373cfb402570e3bc950fdbd,174,1.9421636749999989,unknown_cx,344,0,unknown_cx
cx69bcdf1753472c1444188ec3f5188657e30c8322,147,0.47188837499999997,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
cxa07f426062a1384bdd762afa6a87d123fbc81c75,111,14.032002312499996,xCall,907,425,xCall
cxdbfb9d63e84e6ad6ab301a2f2ef6b6e6e9227cbe,105,1.467765662499995,unknown_cx,0,105,unknown_cx
cx2609b924e33ef00b648a409245c7ea394c467824,94,9.743364674999997,sICX,540,23,sICX
cxba62bb61baf8dd8b6a04633fe33806547785a00c,80,2.4394803124999993,MyID_3,73,0,MyID
cx288d13e1b63563459a2ac6179f237711f6851cb5,77,4.588357662499998,Ethereum,327,4,Ethereum
cx4297f4b63262507623b6ad575d0d8dd2db980e4e,57,3.667347662499997,Injective,268,7,Injective
cx66a031cc3bd305c76371fb586e93801b948254f0,57,3.4652303999999976,Avalanche,249,3,Avalanche
cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb,56,3.269280587499999,Bitcoin,232,3,Bitcoin
cx3975b43d260fb8ec802cef6e60c2f4d07486f11d,47,2.9160135874999993,Wrapped ICX,354,29,Wrapped ICX
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,45,0.18425831249999788,Blobble,0,0,Blobble
cx508002ec116fbf3ab406329c0df28e70d7e75fb3,41,2.1706313499999994,Sui,184,3,Sui
cx65c9e3d4fea842e00add0d32a5b4c5e4e04c7a6b,37,2.064313362499999,Solana,178,1,Solana
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,36,0.3398354999999976,MyID_2,36,0,MyID
cxa0af3165c08318e988cb30993b3048335b94af6c,33,1.3037793249999992,balanced_dex,28,81,Balanced
cx96f98f59f1dc144709fd294d4b906c74f5d709b1,26,0.0575921874999993,EURD_Token_V2,26,0,EURD_Token_V2
hxb568381d35d3e7a6383200e8a0d30310af20b929,25,0.03125,binance_hot,0,0,binance
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,25,2.221950287499999,Balanced Savings,89,0,Balanced
cx5a0af85407c69945eb318d4ac18e9e842184163c,23,1.8011114124999994,GangWar Simulation,148,13,GangstaBet
cx518f64edcd35db9044a2de63fdc10abfd5f7d611,22,4.044047112499999,Stellar,234,7,Stellar
cx66d4d90f5f113eba575bf793570135f9b10cece1,21,2.4833002624999994,balanced_loans,65,36,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,20,2.2254339624999995,balanced_rewards,92,22,Balanced
cx43e2eec79eb76293c298f2b17aec06097be606e0,17,0.19776575,balanced_staking,51,0,Balanced
cx90b9d86f545329831e22a1df4b0618904d3a2d67,13,0.0288545624999998,LEND5_Token_V2,13,0,LEND5_Token_V2
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,13,0.2477462999999997,GangstaVerse LootBox,71,0,GangstaBet
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,12,1.4275546374999997,balanced_baln,97,2,Balanced
hxdd35bd96e76920a3d116ff932b1de4d02f3404b0,12,0.015,unknown_hx,0,0,unknown_hx
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,11,0.2504252,Balanced Asset Manager,44,11,Balanced
hx6b91c8dea3114de74ecfa85908b875778c2b599c,10,0.0125,bybit,0,0,bybit
hx33913d2e0418cdbe30dede51188fd24227e424f0,9,0.01125,unknown_hx,0,0,unknown_hx
hxa1372bbec1e946dbe7681c28fadaac91b38befd9,8,0.01,unknown_hx,0,0,unknown_hx
cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,7,0.4719150374999994,Binance Coin,35,1,binance
cxe2da9f10bc6e2754347bde2ef73379bd398fd9f3,7,0.9694916124999996,HVH,56,1,HVH
hx68646780e14ee9097085f7280ab137c3633b4b5f,6,0.0075,kraken_hot,0,0,kraken
