IRC Token,Amount,No. of Transactions
bnUSD,8832112.440727653,12481
sICX,5788688.864953443,11330
OMM,5547192.680761582,4570
BALN,606628.7348474571,3642
USDS,3839338.93283069,3186
IUSDC,1433202.131488,2456
METX,1813470.6310450346,990
CFT,180485.3320412715,564
IUSDT,21505.918733,397
oIUSDC,283868.447744,274
oICX,1175129.3927558064,256
obnUSD,912061.034898268,247
oUSDS,680716.7749168016,182
dUSDS,1002239.1291809098,169
GBET,92483.0,144
dbnUSD,322004.06810873834,93
dIUSDC,90908.75809799999,62
TAP,481434.5051607279,47
UP,1.9952293391944873,36
LDX,2300.0,6
ACT,400.0,4
ICXIOU,2086.3084639999997,4
HGC,224000.0,1
uMETX,147.51021042119245,1
uTAP,44.73118839638856,1
uUP,0.0620045194225506,1
