block,irep,rrep,totaldelegation,value,timestamp
10364000,50000.0,6.84e-16,170086598.64942682,4.5975932383527764,2019-10-29 14:54:20.160902+02:00
10404000,50000.0,6.84e-16,170774549.7758416,4.6066703712707495,2019-10-30 13:32:14.347750+02:00
10444000,50000.0,6.83e-16,168958603.3710084,4.579450734999976,2019-10-31 12:23:14.284339+02:00
10484000,50000.0,6.87e-16,170032655.6494182,4.6067213431934855,2019-11-01 11:00:02.155132+02:00
10524000,50000.0,6.85e-16,170158301.23839134,4.601821688817478,2019-11-02 09:45:45.285267+02:00
10564000,50000.0,6.84e-16,170417644.25068247,4.601961201147122,2019-11-03 08:23:55.253944+02:00
10604000,50000.0,6.84e-16,170877847.2390518,4.608033323910329,2019-11-04 06:52:25.389479+02:00
10644000,50000.0,6.83e-16,171883525.7858311,4.6179870391921805,2019-11-05 05:17:21.529815+02:00
10684000,50000.0,6.75e-16,174361164.6996292,4.6237227270881505,2019-11-06 04:00:57.078139+02:00
10724000,48957.37869156681,6.74e-16,175181071.08087537,4.581945330168461,2019-11-07 02:38:30.456724+02:00
10764000,48957.6729012687,6.72e-16,175731626.43785658,4.582337477726375,2019-11-08 01:16:45.667275+02:00
10804000,48957.315826014725,6.69e-16,176774045.3374687,4.585603529055604,2019-11-09 00:03:43.974447+02:00
10844000,48958.80022738639,6.69e-16,177025491.55122203,4.588918333383301,2019-11-09 22:49:23.329403+02:00
10884000,48955.49678909521,6.7e-16,176719317.04095668,4.588220574514531,2019-11-10 22:27:47.289945+02:00
10924000,48952.72973918015,6.7e-16,176645953.41267425,4.587142155673058,2019-11-11 21:05:02.572749+02:00
10964000,48952.72973918015,6.7e-16,176309568.1390228,4.5827945836563435,2019-11-12 21:29:19.786074+02:00
11004000,48791.53533403061,6.71e-16,178720281.01754966,4.609812013460851,2019-11-13 20:00:39.704085+02:00
11044000,48792.1908375363,6.65e-16,179288249.98253843,4.596443516241833,2019-11-14 18:29:46.072031+02:00
11084000,48730.96327871711,6.6e-16,181865831.31598738,4.60908563018174,2019-11-15 16:56:28.588795+02:00
11124000,48590.0452500625,6.57e-16,182445389.02932626,4.599273360386185,2019-11-16 16:12:48.901697+02:00
11164000,48582.87086255331,6.56e-16,183060632.01421323,4.603201765161149,2019-11-17 15:35:59.367701+02:00
