block,irep,rrep,totaldelegation,value,timestamp
11204000,48612.99821067242,6.55e-16,183638041.79311284,4.608384124392932,2019-11-19 12:41:00.135343+02:00
11244000,48614.58579063466,6.53e-16,184164557.5971864,4.608006277779924,2019-11-20 11:39:28.982075+02:00
11284000,46790.16555393046,6.51e-16,184950002.28284067,4.524893044709097,2019-11-21 10:17:56.118806+02:00
11324000,46808.97965673626,6.44e-16,187871791.8793509,4.537101549628442,2019-11-22 08:54:15.837286+02:00
11364000,46674.0322065229,6.43e-16,188192516.717327,4.531103912676642,2019-11-23 07:21:23.384543+02:00
11404000,46686.2730994239,6.42e-16,188321572.43222478,4.529648068365792,2019-11-24 05:50:39.628039+02:00
11444000,46659.201429105415,6.43e-16,188382913.35829613,4.532767453248488,2019-11-25 04:19:03.100129+02:00
11484000,46635.77199994263,6.42e-16,188574997.29924393,4.5304095668590785,2019-11-26 02:45:04.220391+02:00
11524000,46635.77199994263,6.42e-16,188848142.87202215,4.533792272447883,2019-11-27 02:10:19.386868+02:00
11564000,46630.096496964805,6.42e-16,188851694.17852947,4.5335691187347615,2019-11-28 00:40:11.362944+02:00
11604000,46625.905949608954,6.42e-16,189072630.40641493,4.536108009991594,2019-11-28 23:05:55.055696+02:00
11644000,46465.56028693136,6.42e-16,188997128.5177383,4.527625841213359,2019-11-29 21:37:35.077080+02:00
11684000,46460.98150616722,6.42e-16,189281970.31295997,4.530937882252475,2019-11-30 20:03:11.340422+02:00
11724000,46436.39164512881,6.41e-16,189495685.88076323,4.528771802925994,2019-12-01 18:29:24.352996+02:00
11764000,46409.435276869866,6.41e-16,188268055.01145715,4.5123234054380115,2019-12-02 16:59:49.723730+02:00
11804000,46381.479310046765,6.44e-16,186998501.45039272,4.506131258691493,2019-12-03 15:25:14.962745+02:00
11844000,46373.63457105409,6.47e-16,186996248.32985651,4.516555575285285,2019-12-04 13:53:05.893812+02:00
11884000,46372.239961201296,6.47e-16,187291594.35303932,4.5201760619550075,2019-12-05 12:18:56.657357+02:00
11924000,46250.43144353779,6.46e-16,187254921.7047666,4.510372919435019,2019-12-06 10:44:28.374897+02:00
11964000,46260.63568450594,6.47e-16,187058585.64831683,4.512014968839805,2019-12-07 09:09:42.678498+02:00
12004000,46258.10388300861,6.46e-16,187557267.9866199,4.514501708987219,2019-12-08 07:34:55.124538+02:00
12044000,46251.27912643058,6.46e-16,187442007.03068054,4.512744166865552,2019-12-09 06:49:03.985229+02:00
12084000,46251.27912643058,6.46e-16,179643565.4372223,4.415564512749541,2019-12-10 06:15:36.458248+02:00
12124000,46577.4166139383,6.65e-16,179448081.9206673,4.494249055078186,2019-12-11 04:42:51.307821+02:00
12164000,46705.09483499121,6.66e-16,179643367.67701414,4.506229056139467,2019-12-12 03:08:12.791055+02:00
12204000,46558.39960086098,6.65e-16,180285463.32323626,4.50409583595781,2019-12-13 01:38:27.990764+02:00
12244000,46561.445395745555,6.64e-16,180548150.8634443,4.504126136939548,2019-12-14 00:10:56.961319+02:00
12284000,46556.0658093951,6.63e-16,181123063.56297225,4.507742895778832,2019-12-14 22:36:17.375785+02:00
12324000,46549.79136051993,6.62e-16,181364300.32926968,4.507034292778648,2019-12-15 21:01:28.587996+02:00
12364000,46524.57996262891,6.62e-16,181352049.32877988,4.50569119916024,2019-12-16 19:29:40.474164+02:00
12404000,46526.63709400533,6.6e-16,182284109.591029,4.510657925143752,2019-12-17 18:00:54.489793+02:00
12444000,46529.221923907964,6.59e-16,182586754.4568811,4.511110584132332,2019-12-18 16:27:22.346689+02:00
12484000,46530.58115755645,6.58e-16,182869751.63044077,4.511244494546061,2019-12-19 14:52:11.424729+02:00
12524000,46526.53198224406,6.57e-16,183451802.1639033,4.51490301038503,2019-12-20 13:16:40.921731+02:00
12564000,46508.95999135086,6.56e-16,184134593.05279154,4.519177380816499,2019-12-21 11:40:52.989659+02:00
12604000,46508.95999135086,6.56e-16,184343310.6629658,4.521818560451421,2019-12-22 10:04:00.219546+02:00
12644000,46496.58822060478,6.55e-16,184641485.84353152,4.5214476945561115,2019-12-23 08:26:57.673387+02:00
12684000,46489.18928799941,6.55e-16,184932219.0338537,4.524772865159968,2019-12-24 06:49:46.316426+02:00
12724000,46485.09580497733,6.54e-16,184697106.04134873,4.518046703610855,2019-12-25 05:12:51.652528+02:00
12764000,46478.62323361013,6.55e-16,184969649.8099335,4.524748482166573,2019-12-26 03:35:49.770332+02:00
12804000,46484.593224792705,6.53e-16,185851122.05437085,4.5289967239583016,2019-12-27 01:59:51.874300+02:00
12844000,46476.55430743018,6.52e-16,186208877.3725653,4.52953280395529,2019-12-28 00:22:45.834994+02:00
12884000,46467.16731559706,6.51e-16,186538125.21208534,4.529633637405948,2019-12-28 22:45:40.067827+02:00
12924000,46634.642129120104,6.51e-16,186878357.56995153,4.541788919234018,2019-12-29 21:10:51.778161+02:00
12964000,46629.91773866069,6.5e-16,186976549.57686612,4.539192833859858,2019-12-30 19:34:43.715126+02:00
13004000,46614.834723064145,6.49e-16,187579377.20893958,4.542423081266943,2019-12-31 18:01:51.677685+02:00
13044000,46611.614080032865,6.48e-16,187861031.3816776,4.542173740173752,2020-01-01 16:25:32.105146+02:00
13084000,46590.71867225573,6.5e-16,187236101.4001843,4.540602227438731,2020-01-02 14:50:00.245417+02:00
13124000,46579.891202368184,6.5e-16,187125042.65025824,4.538700082107373,2020-01-03 13:13:55.125939+02:00
13164000,46579.891202368184,6.5e-16,187085906.3896862,4.538209368963626,2020-01-04 11:37:18.233922+02:00
13204000,46575.04179075077,6.5e-16,188122756.8010641,4.55098174942368,2020-01-05 10:02:08.376878+02:00
13244000,46573.58005459745,6.48e-16,188657740.68470886,4.550342424708895,2020-01-06 08:26:56.290305+02:00
13284000,46575.70258985877,6.47e-16,188983385.90572664,4.5508673804062605,2020-01-07 06:52:01.291696+02:00
13324000,46574.412148855336,6.47e-16,189203536.22189572,4.553554274281897,2020-01-08 05:17:05.412519+02:00
13364000,46571.64109217423,6.45e-16,189705582.00195283,4.552370845990831,2020-01-09 03:41:42.808009+02:00
13404000,46710.7096555081,6.44e-16,190194154.41802835,4.561326524009452,2020-01-10 02:15:39.612139+02:00
13444000,46973.520367211095,6.43e-16,190812164.45896322,4.577693121973542,2020-01-11 00:43:42.101879+02:00
13484000,46966.64720923269,6.42e-16,191113893.3360615,4.577425515283164,2020-01-11 23:06:55.706931+02:00
13524000,46965.17972411886,6.41e-16,191354268.06871012,4.57664205939223,2020-01-12 21:30:25.641638+02:00
13564000,46965.198821224374,6.4e-16,192044486.78568617,4.581472929525976,2020-01-13 19:53:44.195618+02:00
13604000,46963.425699291976,6.39e-16,192313169.1434736,4.5809967937683655,2020-01-14 18:17:06.582501+02:00
13644000,47059.24527154454,6.38e-16,192643673.85578573,4.5858646292932095,2020-01-15 16:46:04.830181+02:00
13684000,47063.033951385856,6.37e-16,193207706.29381913,4.589257556916363,2020-01-16 15:09:44.791175+02:00
13724000,47063.033951385856,6.37e-16,193748903.0156361,4.595907678671715,2020-01-17 13:33:49.601597+02:00
13764000,47061.92034048148,6.36e-16,194244094.46278742,4.598193088524453,2020-01-18 11:57:40.499733+02:00
13804000,46944.799511061916,6.35e-16,194276137.779108,4.589325970230028,2020-01-19 10:21:25.599604+02:00
13844000,46941.25968614102,6.35e-16,194941947.5412841,4.5973150139448204,2020-01-20 08:48:44.279943+02:00
13884000,46930.621481252456,6.34e-16,196064619.86051026,4.60678405489621,2020-01-21 07:12:34.351688+02:00
13924000,46934.73645545506,6.3e-16,196895987.77537125,4.601952724725969,2020-01-22 05:36:53.272495+02:00
13964000,46883.64820529486,6.29e-16,197309107.73783338,4.600762546065136,2020-01-23 04:01:12.412590+02:00
14004000,46883.31589930348,6.28e-16,198019578.27274314,4.6055475684718985,2020-01-24 02:26:28.161266+02:00
14044000,46883.349843538854,6.26e-16,198858288.07635736,4.608037460533073,2020-01-25 00:50:29.178762+02:00
14084000,46876.36797698897,6.25e-16,199120371.52898827,4.607032601648742,2020-01-25 23:14:22.797322+02:00
14124000,46888.04264556282,6.24e-16,199758316.55316538,4.611420015130179,2020-01-26 21:37:57.463186+02:00
14164000,46885.00966649732,6.18e-16,202064542.984828,4.61565029226229,2020-01-27 20:01:23.922411+02:00
14204000,46885.10718006602,6.16e-16,202861635.89470604,4.617330810773534,2020-01-28 18:25:50.335953+02:00
14244000,46870.14034420478,6.16e-16,202905826.02657723,4.617151452010633,2020-01-29 16:51:03.354133+02:00
14284000,46870.14034420478,6.16e-16,203809599.5891249,4.627890736627326,2020-01-30 15:19:45.244537+02:00
14324000,46866.90096877745,6.14e-16,205094948.7226921,4.635099091040701,2020-01-31 13:47:43.056364+02:00
14364000,46864.61193284646,6.12e-16,204172355.19896424,4.616187008061564,2020-02-01 12:11:14.124174+02:00
14404000,45998.03953432434,6.14e-16,205043707.53333175,4.593596699251873,2020-02-02 10:34:32.612792+02:00
14444000,46016.98459397009,6.11e-16,204968718.026159,4.5817386019149335,2020-02-03 08:57:32.756119+02:00
14484000,46024.987266292366,6.12e-16,204779460.58225688,4.583834853512627,2020-02-04 07:21:26.754188+02:00
14524000,45917.16491599276,6.18e-16,201636702.76313972,4.564995461084928,2020-02-05 05:45:58.945740+02:00
14564000,45859.31153790447,6.21e-16,201535260.91093248,4.57272602581358,2020-02-06 04:10:22.748699+02:00
14604000,45848.071786794426,6.19e-16,202255547.48906925,4.573022358323925,2020-02-07 02:34:53.409378+02:00
14644000,45829.07971880196,6.18e-16,202757779.9695426,4.574214169271877,2020-02-08 01:01:20.435948+02:00
14684000,45810.18047880361,6.16e-16,203528879.2678216,4.57466493050268,2020-02-08 23:26:55.160129+02:00
14724000,45851.088126161085,6.15e-16,203982668.5174004,4.578047765548501,2020-02-09 21:52:04.416026+02:00
14764000,45845.248381294026,6.14e-16,204441419.56033623,4.579271559807173,2020-02-10 20:20:28.868656+02:00
14804000,45860.88994580369,6.12e-16,205224779.62975115,4.581368375794149,2020-02-11 18:45:09.626207+02:00
14844000,45860.88994580369,6.12e-16,206008041.36527902,4.590615215727465,2020-02-12 17:09:24.254743+02:00
14884000,45859.07701296754,6.11e-16,206250589.50155354,4.589414700946952,2020-02-13 15:32:53.092224+02:00
14924000,45860.445948248125,6.1e-16,203566407.28861475,4.553915828699468,2020-02-14 13:56:19.990956+02:00
14964000,45718.936916215396,6.15e-16,204174919.77644634,4.574108444021606,2020-02-15 12:21:01.783003+02:00
15004000,44550.08313656176,6.15e-16,204599065.59859416,4.524124772306059,2020-02-16 10:45:34.815618+02:00
15044000,44527.35901083856,6.14e-16,205298326.48668593,4.527390595086251,2020-02-17 09:10:22.894339+02:00
15084000,44589.6536856479,6.13e-16,205690521.58611658,4.531000091151048,2020-02-18 07:39:22.213752+02:00
15124000,44567.67894778424,6.11e-16,206298806.0402958,4.529199597284226,2020-02-19 06:04:51.821977+02:00
15164000,44371.00087665657,6.1e-16,206905750.46941727,4.523104743931068,2020-02-20 04:31:14.533455+02:00
15204000,44260.3546910287,6.09e-16,207335557.48946595,4.518954860285393,2020-02-21 02:58:02.649860+02:00
15244000,42773.15722942947,6.08e-16,208075264.42033654,4.453631643660735,2020-02-22 01:24:22.190773+02:00
15284000,42781.34091853947,6.07e-16,208487256.5327668,4.454827094070713,2020-02-23 00:18:40.415763+02:00
15324000,42782.09405661484,6.05e-16,209155328.7175987,4.4546158057925815,2020-02-23 22:45:34.457785+02:00
15364000,42782.09405661484,6.05e-16,209842784.163333,4.462638771546232,2020-02-24 21:13:41.143069+02:00
15404000,42790.97431662614,6.04e-16,210781029.79497397,4.469940573470912,2020-02-25 19:38:28.949561+02:00
15444000,42187.97822910936,6.01e-16,211332152.14344335,4.435750199020761,2020-02-26 18:03:18.498856+02:00
15484000,40922.18491184902,6e-16,212480679.57614407,4.385388482457524,2020-02-27 16:28:35.821562+02:00
15524000,40412.85515565048,5.98e-16,212294023.00457233,4.3510646669853665,2020-02-28 14:54:06.277954+02:00
15564000,40458.929129312724,5.97e-16,212980954.20072576,4.357048933899621,2020-02-29 13:20:10.531725+02:00
15604000,40737.27668820246,5.97e-16,213824035.09467715,4.37985926062377,2020-03-01 11:47:04.029704+02:00
15644000,40647.57804586505,5.96e-16,213470356.1745503,4.367446425770499,2020-03-02 10:14:49.377154+02:00
15684000,40422.83208045293,5.97e-16,213676025.4372379,4.363354503517287,2020-03-03 08:39:42.139461+02:00
15724000,40160.79418527998,5.96e-16,213998945.24201843,4.350611673926044,2020-03-04 07:04:59.041891+02:00
15764000,40249.31992471241,5.95e-16,214390740.426892,4.355147206217188,2020-03-05 05:30:22.446200+02:00
15804000,40190.55768438499,5.92e-16,215575609.04599664,4.353505426410675,2020-03-06 03:56:08.505125+02:00
15844000,40364.47255983614,5.92e-16,215845352.26991636,4.36477163560553,2020-03-07 02:21:11.837286+02:00
15884000,40373.27307073483,5.9e-16,216794130.8627989,4.3676567033496205,2020-03-08 00:46:51.050892+02:00
15924000,40373.27307073483,5.9e-16,217512429.40850815,4.375831783248704,2020-03-08 23:12:29.447226+02:00
15964000,40283.37104169834,5.88e-16,217158464.83397803,4.359193724230768,2020-03-09 21:37:29.194220+02:00
16004000,40415.772619560994,5.89e-16,217745596.40037465,4.376285522213532,2020-03-10 20:06:03.229827+02:00
16044000,40423.12915276233,5.88e-16,218096525.6251341,4.376411886580226,2020-03-11 18:33:30.732804+02:00
16084000,40420.71173015988,5.87e-16,218673507.30509585,4.378624332748483,2020-03-12 16:57:50.509388+02:00
16124000,41252.78914066199,5.84e-16,220627739.7668722,4.427149026370922,2020-03-13 15:22:13.951736+02:00
16164000,42495.58748779537,5.81e-16,221211687.84575284,4.479421761354226,2020-03-14 13:46:02.329845+02:00
16204000,42943.77130206745,5.8e-16,221550804.60995916,4.500043762554415,2020-03-15 12:13:05.935777+02:00
16244000,43120.25283368489,5.8e-16,223769572.39876643,4.533174554503774,2020-03-16 10:38:47.324699+02:00
16284000,43009.04646402448,5.75e-16,223918592.58386195,4.508010495909343,2020-03-17 09:17:58.644945+02:00
16324000,42834.75072356356,5.76e-16,223792090.2633582,4.502720597168006,2020-03-18 07:43:39.146287+02:00
16364000,42820.841420133474,5.76e-16,223525989.4821397,4.499109240101045,2020-03-19 06:09:49.932040+02:00
16404000,42987.131245067554,5.76e-16,223758069.04097593,4.509514814922202,2020-03-20 04:34:49.608169+02:00
16444000,42972.77332625436,5.75e-16,224488335.82321918,4.512622685463188,2020-03-21 03:00:53.880611+02:00
16484000,42972.77332625436,5.75e-16,224774879.63221234,4.515800978097661,2020-03-22 01:27:16.505288+02:00
16524000,42969.20073456382,5.74e-16,225311997.2218391,4.517244139615574,2020-03-22 23:53:06.130447+02:00
16564000,42964.67170797395,5.73e-16,226262515.4357785,4.523190978243779,2020-03-23 22:18:31.204928+02:00
16604000,42897.58722764286,5.71e-16,227224048.196284,4.5218951457470435,2020-03-24 20:56:34.940326+02:00
16644000,43069.91513717742,5.69e-16,227889790.5745815,4.5285471406568245,2020-03-25 19:22:52.454592+02:00
16684000,42901.579169595316,5.68e-16,228710536.1044353,4.525220634281093,2020-03-26 17:48:25.674405+02:00
16724000,42891.934393283846,5.67e-16,229287212.9912331,4.526662223874262,2020-03-27 16:26:55.695140+02:00
16764000,42906.05111817122,5.65e-16,229661457.29443005,4.522559569824281,2020-03-28 14:58:44.346316+02:00
16804000,42903.91701775454,5.64e-16,230298464.21692157,4.5249593237203865,2020-03-29 14:33:37.952625+03:00
16844000,42897.87588523055,5.63e-16,230285215.1167688,4.520088604758938,2020-03-30 13:01:48.780585+03:00
16884000,42955.698066370016,5.63e-16,230635104.59040496,4.526610091943303,2020-03-31 11:30:07.559022+03:00
16924000,43213.88706122865,5.62e-16,231071123.22291806,4.539040425939002,2020-04-01 09:54:54.572545+03:00
16964000,43214.630395501285,5.61e-16,231911392.2039541,4.5437112112546565,2020-04-02 08:20:04.139044+03:00
17004000,43223.7649623219,5.6e-16,232080314.07043782,4.541492330005991,2020-04-03 06:44:55.627290+03:00
17044000,43223.7649623219,5.6e-16,232016960.46682587,4.540807954658332,2020-04-04 05:09:22.941867+03:00
17084000,43232.20614530441,5.6e-16,232616543.88537008,4.547682244798418,2020-04-05 03:34:21.099332+03:00
17124000,43296.19495075208,5.59e-16,233024878.4479631,4.550610006409075,2020-04-06 01:58:55.701969+03:00
17164000,43302.71277202329,5.59e-16,233505066.3512398,4.556094738697529,2020-04-07 00:23:28.541378+03:00
17204000,43419.64485460244,5.57e-16,233291582.16198915,4.550296001339852,2020-04-07 22:48:21.810937+03:00
17244000,43405.83050328669,5.58e-16,233592612.39572796,4.557386268225998,2020-04-08 21:20:45.410926+03:00
17284000,43701.084770704714,5.57e-16,234021564.2061669,4.571386151685078,2020-04-09 19:45:49.330972+03:00
17324000,44043.20856936785,5.56e-16,234605879.3981386,4.589241856763554,2020-04-10 18:10:20.768485+03:00
17364000,43835.51787339616,5.55e-16,235152013.0708155,4.580787632434205,2020-04-11 16:34:13.245457+03:00
17404000,43835.44819656737,5.55e-16,236376934.40470016,4.593898383376407,2020-04-12 14:58:18.420341+03:00
17444000,44218.109941231414,5.51e-16,237495457.54715493,4.605559131270969,2020-04-13 13:22:10.491380+03:00
17484000,43924.47032317212,5.5e-16,237814444.60713726,4.590541128905584,2020-04-14 11:46:17.303849+03:00
17524000,43928.01981933784,5.5e-16,237800361.16065377,4.590558776958794,2020-04-15 10:13:57.915835+03:00
17564000,43888.024760121945,5.47e-16,239077907.53898495,4.588394981452977,2020-04-16 08:39:03.367274+03:00
17604000,43888.024760121945,5.47e-16,239460679.73106158,4.592433877846995,2020-04-17 07:13:22.042771+03:00
17644000,43878.97009772349,5.47e-16,239680014.97359613,4.594322053028596,2020-04-18 05:40:00.250252+03:00
17684000,43884.13985521841,5.46e-16,239671855.79787332,4.589855989821986,2020-04-19 04:11:53.866275+03:00
17724000,43882.356338749036,5.46e-16,240022896.05765626,4.593469342477391,2020-04-20 02:40:59.919558+03:00
17764000,43869.796904547555,5.46e-16,240704873.2636037,4.600061058044438,2020-04-21 01:18:14.846671+03:00
17804000,43849.28293272043,5.45e-16,240889400.8818286,4.59639224221517,2020-04-21 23:57:29.690237+03:00
17844000,43853.22410517052,5.44e-16,240956542.80982268,4.592635534435949,2020-04-22 22:25:54.035815+03:00
17884000,44040.625272875935,5.46e-16,240237057.66237897,4.60317436630934,2020-04-23 20:50:18.834458+03:00
17924000,43852.90986027176,5.45e-16,240478157.23803908,4.592239501423503,2020-04-24 19:16:34.408151+03:00
17964000,43851.68389101654,5.45e-16,241071996.5340972,4.598424899790959,2020-04-25 17:46:51.837581+03:00
18004000,43835.19222289593,5.44e-16,241255372.45334396,4.594922678211519,2020-04-26 16:11:10.524166+03:00
18044000,43984.85271925242,5.44e-16,241423108.09200335,4.60372707247349,2020-04-27 14:41:44.749428+03:00
18084000,44044.92106599249,5.44e-16,241550534.4620062,4.607891553787674,2020-04-28 13:09:17.188117+03:00
18124000,44029.90569649322,5.43e-16,242107137.5502554,4.608355431891051,2020-04-29 11:40:30.661679+03:00
18164000,44029.90569649322,5.43e-16,243479740.2679673,4.622732809894863,2020-04-30 10:07:34.783955+03:00
18204000,43963.512404897345,5.4e-16,243908759.81345886,4.609986507855272,2020-05-01 08:36:29.876998+03:00
18244000,44046.25111049091,5.39e-16,244293694.8096794,4.613178129089796,2020-05-02 07:02:44.417249+03:00
18284000,44044.332365715294,5.39e-16,244510061.49564958,4.615337463705641,2020-05-03 05:27:10.519115+03:00
18324000,43854.97489953785,5.39e-16,244600482.90618125,4.607364950642439,2020-05-04 03:55:18.778917+03:00
18364000,43861.45663101664,5.38e-16,244795431.89266056,4.604974856055787,2020-05-05 02:20:44.515739+03:00
18404000,43854.998497875866,5.38e-16,245178665.12462404,4.608648112883196,2020-05-06 00:52:50.006191+03:00
18444000,43853.19003112966,5.37e-16,245653267.5077399,4.608749774838208,2020-05-06 23:20:36.716505+03:00
18484000,44036.771085959044,5.36e-16,245990730.28831664,4.616141066440544,2020-05-07 21:59:00.523227+03:00
18524000,42248.27573631701,5.36e-16,246013502.23290795,4.5321957946267775,2020-05-08 20:23:43.155646+03:00
18564000,41621.24437367748,5.36e-16,246104973.22058722,4.503628509220829,2020-05-09 18:48:56.525702+03:00
18604000,40808.416491725235,5.36e-16,246367169.8951935,4.4680813908879875,2020-05-10 17:13:26.463366+03:00
18644000,39802.60589374276,5.34e-16,247220539.7454773,4.420025590370702,2020-05-11 15:37:36.888145+03:00
18684000,39802.60589374276,5.34e-16,247684029.29932374,4.424799961932315,2020-05-12 14:02:12.489652+03:00
18724000,39826.52125893501,5.33e-16,247943032.6796064,4.423810730903388,2020-05-13 12:26:26.254605+03:00
18764000,39529.14470690805,5.33e-16,247967301.25882792,4.410063361416106,2020-05-14 10:51:26.616538+03:00
18804000,39531.14752642737,5.33e-16,278542590.82118326,4.724521621762605,2020-05-15 09:16:26.401838+03:00
18844000,39774.75738448387,4.75e-16,279136715.1091951,4.42979065769692,2020-05-16 07:45:04.781625+03:00
18884000,40031.719456629835,4.74e-16,279476109.0963035,4.439603996640137,2020-05-17 06:10:12.287872+03:00
18924000,40025.3353905003,4.74e-16,279673137.2088613,4.441105042241917,2020-05-18 04:35:46.550629+03:00
18964000,40030.260063179245,4.77e-16,278033028.20111036,4.442430343481616,2020-05-19 03:01:35.097031+03:00
19004000,39002.3307792769,4.77e-16,278161309.9798881,4.3952282400046725,2020-05-20 01:28:24.804871+03:00
19044000,38989.48630436398,4.78e-16,278077443.9225496,4.399216141543727,2020-05-20 23:54:02.912095+03:00
19084000,38164.62557003253,4.77e-16,278101700.3456582,4.355250722526202,2020-05-21 22:22:51.204428+03:00
19124000,37577.84726851511,4.77e-16,278404910.49402577,4.33042225387398,2020-05-22 20:49:35.789001+03:00
19164000,37873.88910807435,4.76e-16,278616854.9592731,4.340931951857936,2020-05-23 19:15:19.848271+03:00
19204000,37887.583274397555,4.77e-16,278566402.5007539,4.3464868283639975,2020-05-24 17:41:41.683276+03:00
19244000,37887.583274397555,4.77e-16,279190782.5812937,4.3522319922995205,2020-05-25 16:07:20.613312+03:00
19284000,37762.02581239147,4.76e-16,279258345.3870207,4.341557009769619,2020-05-26 14:34:41.561298+03:00
19324000,37754.61013969907,4.75e-16,280708613.5430324,4.349109571253976,2020-05-27 13:01:15.416347+03:00
19364000,36877.367890427,4.72e-16,281678046.7659836,4.300401537927973,2020-05-28 11:28:06.254155+03:00
19404000,34833.70244704474,4.71e-16,282122867.91357225,4.2028183788210205,2020-05-29 09:55:06.233273+03:00
19444000,30647.60412506701,4.71e-16,282174957.245544,4.006260781786549,2020-05-30 08:24:40.410194+03:00
19484000,28804.119847684182,4.71e-16,282332449.5179716,3.920922765264545,2020-05-31 06:52:16.499305+03:00
19524000,27302.501985905226,4.7e-16,282683168.22882587,3.8479782776457734,2020-06-01 05:26:42.871378+03:00
19564000,26001.679864204852,4.72e-16,281917595.41799664,3.7906868037414014,2020-06-02 03:52:10.848687+03:00
19604000,24040.523421882368,4.71e-16,282252530.7185275,3.695984165081393,2020-06-03 02:21:22.175350+03:00
19644000,21559.167460827965,4.7e-16,282535681.0213706,3.5763144036355015,2020-06-04 00:51:12.106830+03:00
19684000,19544.071472958098,4.7e-16,282788491.25441986,3.483760132785399,2020-06-04 23:18:33.110065+03:00
19724000,18220.218729069053,4.69e-16,283317108.2551757,3.4207765715780454,2020-06-05 21:47:08.379196+03:00
