IRC Token,Amount,No. of Transactions
bnUSD,2528713.7196391453,3972
sICX,2280018.0303941057,3861
BALN,507201.2676194142,2359
OMM,1894383.3106128653,2026
IUSDC,566360.419912,1242
GBET,1327427.1427381302,995
METX,772911.6784560524,989
CFT,890510.7480484163,900
USDS,776643.1734763508,642
oICX,550319.3703444212,178
oIUSDC,156729.060783,128
obnUSD,614214.644666862,94
dbnUSD,53596.31616306478,63
TAP,1293657.602264379,59
oUSDS,199785.04638715333,48
IUSDT,3142.819348,36
dUSDS,25064.577325494636,35
LDX,17000.0,33
UP,2.8852413880412855,30
dIUSDC,12679.169524,20
SPORTS,10.6,7
HGC,500.0,1
BALW,24.4375,1
SEED,633.416069,1
