IRC Token,Amount,No. of Transactions
sICX,2296804.15878258,3538
bnUSD,2861758.1406777105,3265
BALN,416866.01354443724,1908
OMM,1880886.386320447,1511
METX,1190776.5628440622,1140
IUSDC,706469.290566,828
CFT,1102667.471851835,827
GBET,1460448.5488522253,595
PGT,3000.0,478
USDS,380392.71018478146,455
oICX,104332.35208574361,151
oIUSDC,196783.191896,114
obnUSD,405770.2412004123,88
oUSDS,59806.009869594745,60
dbnUSD,60629.14729950799,52
dUSDS,75829.92368595189,38
TAP,738378.1143929438,36
IUSDT,9133.174135,30
ACT,1454.0,30
UP,36.707256885611365,28
dIUSDC,43902.587451,18
LDX,2750.0,3
IETH,0.0131178404433729,2
HGC,5750.0,2
SEED,173.829353,1
ICXIOU,500.0,1
uMETX,49.66950116115504,1
