IRC Token,Amount,No. of Transactions
bnUSD,3378429.7754229214,5980
sICX,6707543.0058818795,5675
BALN,1075232.250940181,2335
OMM,2151527.4798216913,1694
METX,2012037.2171671463,1092
GBET,858165.0689076487,881
USDS,2274048.026466248,579
IUSDC,254929.791716,518
oICX,1302624.0128806876,174
oOMM,107515.20073141201,106
obnUSD,375384.2252720057,97
CFT,148838.378516593,89
TAP,1710102.1796741094,74
oIUSDC,46760.420994,68
UP,1874.1897385415152,54
dbnUSD,25640.418749151213,53
oUSDS,667558.9181286658,53
dUSDS,616793.2805754064,35
IUSDT,52.773830000000004,25
dBALN,11277.567746032786,22
oBALN,61665.998650422385,21
dIUSDC,16136.469724,19
HGC,25000.0,3
ICXIOU,2000.0,2
uMETX,626.0921724223808,1
ACT,100.0,1
uUP,9.02043057409244,1
