IRC Token,Amount,No. of Transactions
sICX,7386408.910391013,8595
bnUSD,6713303.090792015,8566
BALN,1752952.975746343,6759
OMM,5198805.847201472,5901
GBET,2715490.2067432534,2149
METX,12333200.478287384,1864
USDS,1861936.8785887407,1521
IUSDC,846620.16946,1267
IWIN,4980.1455,833
CFT,4249577.121164005,715
oICX,1025018.7398275583,400
obnUSD,641510.9133262588,207
oIUSDC,206964.750436,127
oUSDS,523240.88303452963,121
dbnUSD,152421.21181465592,105
oOMM,657033.5148069699,105
dUSDS,157948.22282582487,103
IUSDT,8322.029325,64
LDX,258014.75,61
dIUSDC,43209.854485,53
oBALN,91719.45739923169,41
UP,2.836667992948624,36
TAP,257651.86498392504,33
dBALN,63762.61898196387,19
IAM,12000.437567639272,3
