IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,490660.6070734327,1727,,
FRMD,48446.38169935253,1536,,
sICX,2041671.5586061382,1515,,
BALN,469461.96850156935,355,,
GBET,150241.00713524778,304,,
OMM,2756863.6074513863,206,,
$unknown,29206.660200944247,169,,
CFT,860233.5581507015,151,,
CODE,579449.79569879,139,,
USDS,5771.128408376129,128,,
IUSDC,49902.208098,124,,
FIN,13424.851458337407,100,,
NPT,1795.8525,31,,
IAM,61241.31045459148,30,,
CROWN,74708.20513529787,21,,
BTCB,0.09362647854936082,14,,
ETH,0.703823456741888,11,,
oICX,2454.507835002418,8,,
METX,688001.7898461537,7,,
oUSDS,281.95369036993577,6,,
XCROWN,3259.842924902348,4,,
dUSDS,117.19795912426314,4,,
CLAW,4420816.193384787,2,,
dbnUSD,58.758650452399046,2,,
IUSDT,0.564972,2,,
oIUSDC,367.725791,2,,
finMICX,14387.81933337384,1,,
UP,0.05434115451503498,1,,
