IRC Token,Amount,No. of Transactions
OMM,2764014.7254791707,9963
IUSDC,2418714.429726,7169
sICX,6165001.184452583,6790
bnUSD,5191833.034753026,6311
BALN,604274.4591533544,3376
USDS,6315362.308984098,3201
oIUSDC,296583.481737,2565
CFT,1499716.9062574583,1241
PGT,3017.3688182273318,704
METX,601063.1769156782,445
oUSDS,1806214.975973584,401
oICX,1378700.5337907532,393
dIUSDC,461566.956194,249
dUSDS,1255235.856665758,178
UP,940.556851324017,171
TAP,4349906.3023179425,105
SEED,1354.226237,86
LDX,3251.0,11
HGC,55250.0,6
ACT,400.0,4
EPX,14.3,2
