IRC Token,Amount,No. of Transactions
OMM,3452329.5864562998,9248
sICX,7770815.197364164,8011
bnUSD,4152765.260271174,5760
IUSDC,3568818.3793409998,4228
BALN,602314.4387697357,4167
USDS,4362565.150438903,2883
METX,285928.35064767336,817
PGT,3000.0,805
oICX,1675336.0814768681,668
oUSDS,1552540.689521263,606
oIUSDC,841676.345721,273
dIUSDC,439404.302582,266
dUSDS,925298.6321214844,211
UP,1.4283039694856998,64
TAP,398470.83307622524,47
SEED,39.497681,33
LDX,1650.0,24
IAM,3120.721,2
EPX,54.91,1
uMETX,0.0671468647484605,1
uSEED,9.88656047e-08,1
