,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees,is_filled
2025-11-05,11863,5014,43137,792,5728,3945,1398,815,55,149.12145273749988,False
2025-11-06,8595,3587,43097,610,4274,2773,938,789,67,101.64947811249989,False
2025-11-07,15668,5974,43029,957,7067,5622,2022,785,52,189.6973899999998,False
2025-11-08,8142,3475,43059,600,4155,2442,945,783,65,105.4033762374999,False
2025-11-09,7368,3182,43081,592,3681,2299,796,749,51,88.58730628749991,False
2025-11-10,8521,3576,43127,551,4212,2797,961,760,52,107.7521279749999,False
2025-11-11,9781,4757,43108,642,5269,2940,930,787,49,113.54608632499989,False
2025-11-12,9167,4230,43111,909,4500,2804,954,796,69,112.4305478499999,False
2025-11-13,15183,7074,43125,1166,7442,4907,1668,812,53,177.87292053749985,False
2025-11-14,13449,5766,43123,672,6740,4412,1625,737,56,162.64028256249986,False
2025-11-15,6030,3107,43136,564,3350,1529,587,730,66,73.14960402499992,False
2025-11-16,11746,5564,43144,790,6152,3485,1319,751,75,142.08669266249987,False
2025-11-17,12554,5442,43145,618,6476,3851,1609,776,51,159.77973186249986,False
2025-11-18,9097,4222,43163,392,4793,2789,1123,569,53,118.26518061249989,False
2025-11-19,17549,8353,43162,849,9617,4939,2144,747,55,206.7204512749998,False
2025-11-20,16239,7397,43152,789,8533,4923,1994,746,56,201.7895765249998,False
2025-11-21,37155,15656,43042,1071,16877,12738,6469,876,70,702.5889189749996,False
