,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees
2023-08-16,12352.0,3732.0,43146.0,3427.0,5580.0,1980.0,1365.0,1920.0,100.0,173.14212489999989
2023-08-17,24251.0,14350.0,43153.0,3541.0,6214.0,2527.0,11969.0,5746.0,106.0,253.42861119999986
2023-08-18,16953.0,8484.0,43174.0,3476.0,5310.0,1790.0,6377.0,5715.0,99.0,160.80546417499988
2023-08-19,16090.0,8372.0,43113.0,3168.0,5310.0,1155.0,6457.0,5691.0,101.0,125.17037822499991
2023-08-20,16318.0,8223.0,43135.0,3329.0,4879.0,1211.0,6899.0,5682.0,98.0,128.0094418749999
2023-08-21,30719.0,9602.0,43164.0,16077.0,6687.0,1700.0,6255.0,6421.0,113.0,222.67683052499984
2023-08-22,60138.0,8412.0,43131.0,46590.0,5232.0,1414.0,6902.0,5682.0,94.0,220.35696657499992
2023-08-23,60145.0,8330.0,43126.0,46407.0,5580.0,1679.0,6479.0,5692.0,101.0,197.63815368749988
2023-08-24,59426.0,7851.0,43201.0,46361.0,5093.0,1336.0,6636.0,5630.0,96.0,201.2604475124999
2023-08-25,58636.0,7811.0,43172.0,46137.0,5326.0,1080.0,6093.0,5684.0,100.0,165.8288519249999
2023-08-26,23946.0,7696.0,43159.0,11933.0,4657.0,992.0,6364.0,5563.0,101.0,116.52247697499992
2023-08-27,14918.0,7803.0,43142.0,2900.0,4725.0,991.0,6302.0,5609.0,94.0,108.53127699999992
2023-08-28,16380.0,8117.0,43126.0,3055.0,5318.0,1368.0,6639.0,5665.0,104.0,135.4962913749999
2023-08-29,17530.0,8572.0,43155.0,3027.0,5611.0,1922.0,6970.0,5725.0,98.0,187.7361487749999
2023-08-30,18270.0,11461.0,43150.0,4090.0,6389.0,1497.0,6294.0,6353.0,97.0,178.01137898749988
2023-08-31,17624.0,8490.0,43136.0,3110.0,6673.0,1502.0,6339.0,5825.0,103.0,149.66621482499986
2023-09-01,11335.0,2867.0,43184.0,3644.0,5040.0,1319.0,1332.0,1901.0,100.0,119.1213652124999
2023-09-02,15264.0,7966.0,43171.0,2915.0,4995.0,1053.0,6301.0,5624.0,99.0,126.6239295749999
2023-09-03,14088.0,7400.0,43174.0,2740.0,4555.0,780.0,6013.0,5563.0,92.0,122.77159481249993
2023-09-04,19625.0,10163.0,43115.0,3530.0,7481.0,1648.0,6966.0,6521.0,100.0,179.39990414999983
2023-09-05,15419.0,8096.0,43105.0,2803.0,4943.0,1210.0,6463.0,5619.0,97.0,125.7810671499999
2023-09-06,15608.0,7890.0,43158.0,2841.0,5399.0,1119.0,6249.0,5774.0,103.0,119.5225764999999
2023-09-07,15840.0,7744.0,43171.0,3227.0,5467.0,1000.0,6146.0,5559.0,90.0,121.9350834624999
2023-09-08,15693.0,8007.0,43093.0,3350.0,4937.0,1168.0,6238.0,5638.0,99.0,112.45293134999989
2023-09-09,14540.0,7703.0,43152.0,2674.0,4720.0,1127.0,6019.0,5552.0,90.0,123.3219420249999
2023-09-10,15659.0,8091.0,43160.0,3457.0,5037.0,961.0,6204.0,5569.0,93.0,121.73132174999989
2023-09-11,19283.0,10100.0,43169.0,3836.0,7542.0,1516.0,6389.0,6395.0,111.0,168.59483677499986
2023-09-12,16108.0,8143.0,43134.0,3032.0,5537.0,1239.0,6300.0,5814.0,101.0,125.2877858874999
2023-09-13,10090.0,2622.0,43107.0,2876.0,5107.0,1168.0,939.0,1752.0,98.0,109.50371723749991
2023-09-14,21605.0,13330.0,43154.0,3370.0,5454.0,1451.0,11330.0,5736.0,98.0,162.19149824999988
2023-09-15,18456.0,9017.0,43157.0,3069.0,6178.0,2805.0,6404.0,5668.0,98.0,191.2862241874999
2023-09-16,16276.0,8077.0,43167.0,2991.0,5223.0,1774.0,6288.0,5673.0,102.0,139.4454659749999
2023-09-17,16856.0,8159.0,43179.0,3435.0,5150.0,1479.0,6792.0,5590.0,98.0,145.42282161249992
