IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,26027681.6825286,39931.0,1.1183895473243888,29109087.134826448
sICX,63726682.56811374,25958.0,0.423421226663708,26983230.104199458
BALN,5907843.501114256,5471.0,0.34497630608114355,2038066.0279198862
OMM,26678093.865049753,4702.0,0.03860416291476472,1029885.4818217659
IUSDC,5887094.297346,4011.0,1.0509223052266627,6186878.7100535985
USDS,2215210.62761739,3719.0,1.0242066009187465,2268833.34723109
GBET,2845495.3459890014,1748.0,0.051695175091562746,147098.38013312835
METX,15785301.709772617,1525.0,0.000295612769096407,4666.336749448131
oICX,4621287.004056875,818.0,0.423421226663708,1956751.012022814
CFT,3443182.6082390263,675.0,0.016693134395121195,57477.510026277996
FIN,56700.30146312079,652.0,0.8134537828323993,46123.07471291303
dbnUSD,441631.1520518081,339.0,1.1183895473243888,493915.66422756994
oIUSDC,1402889.137371,335.0,1.0509223052266627,1474327.4862233757
dUSDS,233635.62701611978,327.0,1.0242066009187465,239291.1513997001
obnUSD,1128527.9639775765,324.0,1.1183895473243888,1262133.878775796
dIUSDC,529914.361191,250.0,1.0509223052266627,556898.82203556
oUSDS,338422.0836350139,156.0,1.0242066009187465,346614.1319556573
finOMM,5150.465263544113,126.0,0.8134537828323993,4189.66545197683
finICX,2941354.1556253578,110.0,0.8134537828323993,2392655.664543245
IUSDT,104206.303912,107.0,1.0252161344040363,106833.98407719284
IAM,13762.222070961816,80.0,,
UP,5.270342789873102,57.0,1.1438105513363324,6.028273692216217
oOMM,399834.7413021549,56.0,0.03860416291476472,15435.285492211195
TAP,1207120.8477600447,34.0,0.0010872929014420943,1312.4939289522597
oBALN,50331.441343305254,23.0,0.34497630608114355,17363.154714353197
IDOGE,196515535.61901096,19.0,,
finOICX,275651.6811154467,10.0,0.8134537828323993,224229.9027474704
LDX,24750.0,6.0,,
dBALN,2213.8924468810856,5.0,0.34497630608114355,763.7404383859812
ICXIOU,61.27736,1.0,0.423421226663708,25.946134937913637
MRS,10.0,1.0,,
LEND5,20.0,1.0,,
ICX,,,0.385,
