IRC Token,Amount,No. of Transactions
IWIN,356069.3789,4557
BALN,722853.7542454288,3177
sICX,3454722.617570547,2487
PGT,4317.905917092398,2042
bnUSD,1641218.2920361145,1834
METX,883262.5142377926,843
USDS,761788.2863470083,310
oICX,976564.8788127617,266
IUSDC,633076.699139,263
oUSDS,253453.35551765934,143
LDX,16254.203125,129
dUSDS,159302.1139133711,128
UP,23.810614840801662,102
TAP,503473.351317231,79
dIUSDC,193160.278644,63
oIUSDC,203735.346467,57
SEED,241.40611099999998,51
ACT,1310.0,14
OMM,1701000.0,13
IAM,886.0,5
HGC,7500.0,2
EPX,0.41600000000000004,2
uMETX,1817.3704546116478,2
