IRC Token,Amount,No. of Transactions
OMM,3806881.7928741104,12957
IUSDC,2869924.887349,7333
sICX,3978755.131790491,6045
bnUSD,2571024.5765299965,3623
BALN,601766.042818962,3194
USDS,3738593.7591565186,2954
oIUSDC,701650.896645,2711
PGT,3140.8205254411905,868
METX,337891.8790460766,820
oUSDS,1200847.1574379115,665
oICX,1120063.8518067845,472
dIUSDC,349686.684661,223
dUSDS,346519.5687085908,222
UP,95.51272580032064,49
TAP,597954.2258567696,46
LDX,4750.0,40
SEED,5468.217194000001,27
HGC,28250.0,5
ICXIOU,3024.30387,4
EPX,0.5434,3
IAM,7.4007870930738,1
uMETX,0.0669196333970988,1
