IRC Token,Amount,No. of Transactions
OMM,3345496.5404992593,6758
sICX,20431262.89298331,6417
bnUSD,4605425.096878499,5219
IUSDC,2994538.515458,4107
BALN,725624.1067507059,3577
USDS,3217549.42370545,2244
IWIN,129182.07949999999,1469
METX,270678.0037936092,821
oICX,8782952.518790787,504
oUSDS,1084694.578002668,380
dIUSDC,376056.881055,300
dUSDS,674540.0429063151,168
oIUSDC,447764.502093,147
UP,17.49068800536531,101
TAP,1418970.4184567505,77
SEED,185.199713,51
LDX,1500.0,3
HGC,65000.0,2
uMETX,90.05273513270257,2
EPX,2.6,1
IAM,200.0,1
