IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,10002.0,914187.1674250852,732348.730968437,2880.0,1.0197879131613188,746840.3840606424
sICX,12176.0,961326.5208805413,1810296.1908464564,2183.0,0.33582575263091047,607944.0807758815
BST,415.0,12.348982068934665,1273.3441539610365,727.0,1.2055136579152645,1535.0337688265868
FRMD,963.0,18919.643087351258,14213.885268710337,531.0,0.010156084586549118,144.3574210925266
$unknown,,,171271.58705682718,428.0,,
BALN,16510.0,366396.2258870799,376134.65282518213,299.0,0.19398295800212428,72963.71256213091
USDS,5454.0,4657.456489423226,11117.52549139244,260.0,0.6730687945495769,7482.859480865703
OMM,13911.0,18375.20149104602,1828014.3873605595,212.0,0.004192215770203041,7663.430742850988
GBET,2912.0,7471.631051490989,115671.17330138729,187.0,0.003255149085720106,376.5269140161828
CROWN,1279.0,8794.346889508806,13078.976696502825,157.0,0.002438336092420078,31.890940931003957
BTCB,162.0,11575.90072094791,0.2695576670059604,133.0,60220.47474930578,16232.890679414215
CFT,19444.0,56742.751815027805,2184235.112473355,131.0,0.004034768268906609,8812.882523639151
CODE,256.0,1.7168068432262769,555554.0,108.0,1.2705331220672234e-05,7.058497580969342
IUSDC,5611.0,19861.659985135964,2987.890281,84.0,0.4057899303264971,1212.4557889502078
FIN,2276.0,5755.936867394809,21642.05128426805,56.0,0.02200254943991492,476.180303363282
ETH,159.0,2996.960755961773,3.7595562429689067,32.0,2936.7419527796583,11040.846542561463
archUSDC,8.0,11.1537918325248,31658.428737000002,20.0,1.0197879131613188,32284.882975671557
METX,11420.0,980.5295955291277,3695485.003039569,18.0,4.82764597139411e-05,178.40493287271326
sARCH,89.0,65170.226777437325,29930.984239973073,15.0,0.2279629929778006,6823.156750115642
NPT,466.0,0.6432562774622566,1053.0,12.0,7.870801780821782e-05,0.08287954275205336
VOID,159.0,493.38986303172,3652.9817410665923,7.0,0.013307030990620857,48.61034123654528
dUSDS,5454.0,4657.456489423226,377.30157478671885,4.0,0.6730687945495769,253.9499161233539
oICX,12176.0,961326.5208805413,1258.8270701407077,4.0,0.33582575263091047,422.7465482621671
finMICX,12176.0,961326.5208805413,2224.3233259790686,3.0,0.33582575263091047,746.9850550414108
dICX,12176.0,961326.5208805413,0.4913156839781221,2.0,0.33582575263091047,0.1649964593513234
oIUSDC,5611.0,19861.659985135964,1.24316,2.0,0.4057899303264971,0.5044618097846881
oUSDS,5454.0,4657.456489423226,0.34968208659582384,2.0,0.6730687945495769,0.2353601005006319
obnUSD,10002.0,914187.1674250852,69.99235374544152,2.0,1.0197879131613188,71.37735636331263
IDOGE,1786.0,79.80250479156673,84530.0,1.0,2.9618302985725597e-07,0.02503635151383385
ICX,,,,,0.2693691,
