IRC Token,Amount,No. of Transactions
BALN,862884.9347126501,8161
sICX,4706727.040609496,3579
LDX,445006.578125,3448
bnUSD,1801353.03224122,3099
IAM,6501.51797094381,2023
PGT,3042.6079925500044,1820
IWIN,944.876499999995,1195
METX,583505.9839355018,843
UP,6.905239650025253,252
TAP,936067.8007507934,85
SEED,288763.82590100024,68
EPX,74.39999999999998,41
ACT,2600.0,38
SPORTS,70000.0,2
USDS,1171.0,1
IETH,6.148964046968001e-05,1
HGC,500.0,1
uMETX,127.42242915114583,1
uTAP,758.7528147404407,1
uUP,0.009114177753829836,1
