IRC Token,Amount,No. of Transactions
sICX,40762630.45430498,4664
BALN,972666.5646801977,4011
bnUSD,6871260.46814006,2893
PGT,3000.0860097726845,2015
oICX,19637855.51526665,900
IUSDC,8083643.111297,683
USDS,2772584.834351054,677
METX,402005.65802639833,651
dUSDS,855889.4160967073,275
oUSDS,911686.9201539552,269
oIUSDC,2189213.207678,118
dIUSDC,1340917.311087,113
UP,6.629386042950215,90
TAP,3729223.6734057814,77
SEED,368.863532,44
LDX,8093.0,35
OMMWT,100.0,10
ICXIOU,1596.2784922,5
IAM,10431.00000114488,4
uTAP,793.3951774691776,2
HGC,2500.0,1
