IRC Token,Amount,No. of Transactions
sICX,3020420.183264813,5146
bnUSD,2348030.651689585,4921
OMM,2064526.073078013,3698
BALN,502390.67027160927,2803
USDS,990974.1304291725,2203
IUSDC,2923060.4327640003,1988
METX,2919509.685993646,1948
CFT,1232544.584868343,599
PGT,3000.0,553
IUSDT,10571.929393,519
oICX,761270.7616722703,246
GBET,32058.0,232
oUSDS,304467.1844601704,194
oIUSDC,824424.313598,181
UP,5.558610783685115,164
dIUSDC,410995.210905,128
SEED,803.783922,85
dUSDS,188031.5823840313,68
TAP,1313277.747432642,61
LDX,725915.125,15
ACT,800.0,8
ICXIOU,2781.26829775,5
EPX,0.078,2
HGC,8000.0,2
CODA,202.73566231855773,1
