IRC Token,Amount,No. of Transactions
sICX,3294609.961831186,4859
bnUSD,2800839.5104066026,4670
IWIN,1064428.9763,4145
OMM,2491265.7844109456,4034
BALN,450991.5798281329,2755
IUSDC,1108264.555008,2368
USDS,947483.7571834751,2023
METX,1823997.044114782,1956
IUSDT,47563.939851999996,682
CFT,199142.551073852,650
PGT,3000.0,557
GBET,33806.0,222
oIUSDC,178908.48301,215
oICX,799439.2240817834,208
oUSDS,240573.12987472487,201
dIUSDC,171336.444228,124
UP,1.478016152389707,99
TAP,2442912.089694648,57
dUSDS,141385.19972106133,50
SEED,51.603809999999996,49
CHKN,464.0,15
ACT,700.0,7
LDX,1819226.0,6
HGC,2000.0,3
IETH,8.91042711e-08,1
ICXIOU,97.9,1
uUP,2.16617510267e-05,1
