IRC Token,Amount,No. of Transactions
bnUSD,5074564.420967055,8520
sICX,3704713.7862414555,7876
IWIN,1552155.2899,5837
BALN,720713.4598105846,3951
OMM,1952693.7087621428,2544
IUSDC,914752.702443,1604
METX,748406.484423674,1321
USDS,1752335.3019980341,1270
PGT,3000.0,492
oIUSDC,240424.987642,262
CFT,965084.9050527955,250
oICX,472575.7984854564,165
obnUSD,623208.1113073211,156
IUSDT,156936.64005299998,150
GBET,39578.0,135
oUSDS,491542.89976851264,121
dIUSDC,63093.126021,94
dbnUSD,252281.8162547006,82
dUSDS,388831.1055387355,80
TAP,793425.5382501215,54
UP,2.1963925258550407,29
LDX,2531.0,12
ICXIOU,1611.11011,3
HGC,10250.0,3
ACT,200.0,2
uMETX,234.07622708044994,2
SEED,0.196868,1
