IRC Token,Amount,No. of Transactions
bnUSD,5231134.14460053,8324
sICX,5084297.806236061,7550
OMM,2041136.609530452,4236
BALN,863448.5149359009,3267
IUSDC,2632594.71514,3112
USDS,824876.9148348828,2502
METX,1585386.9178562115,2094
IUSDT,151074.232039,855
CFT,279047.834309827,751
PGT,3000.0,585
oIUSDC,508215.95618599997,338
oUSDS,281704.50524947303,272
GBET,115392.0,247
oICX,795778.9824901257,212
IWIN,23499.5322,191
dIUSDC,417008.195908,181
UP,11.924561250917645,99
dUSDS,64336.054659917754,77
TAP,914265.1428840547,75
SEED,68.645611,48
BALW,348.125,21
ICXIOU,109702.39658308,20
ACT,700.0,7
SPORTS,10000000.0,4
LDX,1500.0,3
IETH,0.1998,2
uTAP,5649.974970352954,2
HGC,3000.0,1
