IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
FRMD,40797.69922132966,1456.0,0.017250698493344856,703.7888084893282
sICX,807528.3474067347,825.0,0.27395048857923154,221222.7853136544
GBET,126025.30834753066,676.0,0.009233740754611718,1163.6850258011023
bnUSD,67484.9387483044,479.0,0.9969104047594172,67276.43760273661
BALN,102312.35788093785,306.0,0.1570581320510251,16068.987814516075
OMM,1085001.177266791,286.0,0.014036489661919576,15229.60780787588
$unknown,33807.68546730398,214.0,,
CFT,3512469.0700037535,187.0,0.007801965793290603,27404.16353416054
CODE,605783.5805115536,174.0,,
FIN,14534.931492780815,167.0,0.19750072901099813,2870.6595659491263
CROWN,698433.4441092946,127.0,,
NPT,0.0,74.0,,
IUSDC,23792.893441,52.0,0.9931302423397095,23629.442029023216
USDS,600.5510254498226,46.0,1.0013614529038002,601.3686473873015
oICX,217330.34246527348,29.0,0.27395048857923154,59537.753501453386
XCROWN,146328.49399966697,23.0,,
obnUSD,2752.080318053163,12.0,0.9969104047594172,2743.577503800804
IUSDT,1084.999403,10.0,0.9998081307646768,1084.7912249942203
VOID,2484.656811966422,9.0,,
oUSDS,68.34837790430785,9.0,1.0013614529038002,68.4414310018757
TAP,19720.335657104974,7.0,0.0008457491548587454,16.678457215527313
oIUSDC,3119.007388,7.0,0.9931302423397095,3097.5805631037842
BTCB,0.1499242,4.0,,
oOMM,393.78,4.0,0.014036489661919576,5.52728889907069
dICX,80614.90107262395,4.0,0.27395048857923154,22084.49153561175
UP,0.038678486149365185,2.0,0.7170007211201835,0.027732502460931868
finOMM,0.9935183327696391,2.0,0.014036489661919576,0.013945509806848612
dbnUSD,991.7011764234629,2.0,0.9969104047594172,988.6372211887046
dBALN,100.79874290500524,2.0,0.1570581320510251,15.831262273751642
oBALN,8.48,1.0,0.1570581320510251,1.331852959792693
METX,1378.8713482689702,1.0,8.9752342483182e-05,0.12375693349008353
IDOGE,8910.0,1.0,,
FinICX,36209.90429120775,1.0,0.19750072901099813,7151.482494932
uMETX,26.254481274625405,1.0,8.9752342483182e-05,0.002356401195078468
ICX,,,0.241346402,
