IRC Token,Amount,No. of Transactions
bnUSD,3649541.526827381,6209
sICX,4794380.9790071575,6172
OMM,1530259.8672312328,3328
BALN,629849.5779182643,2903
IUSDC,1894826.05611,2061
METX,853859.7733022206,1801
USDS,392711.66937723476,1597
IUSDT,207492.359143,870
CFT,177723.34412295176,647
PGT,3000.0,583
oIUSDC,504896.446927,305
IWIN,49869.8924,294
GBET,83714.0,241
oUSDS,165136.8046605982,202
oICX,200832.89583802415,185
dIUSDC,219163.229865,130
UP,8.473400971371037,83
dUSDS,20626.200975717988,74
TAP,1484845.929163108,66
SEED,655.684688,44
LDX,1759.0,24
ACT,300.0,3
HGC,87000.0,3
ICXIOU,1039.01601,2
uMETX,1.0876169131518834,2
