IRC Token,Amount,No. of Transactions
bnUSD,49458025.79322059,47869
sICX,45447613.82817578,27115
BALN,9370289.708672548,8971
OMM,17941883.00174457,4495
IUSDC,3432808.9327599998,3387
USDS,2512085.743640751,2744
GBET,3814226.4580492447,1866
METX,4198655.570267784,1731
oICX,4801032.2419682965,620
dbnUSD,2530650.553140497,332
obnUSD,3428026.3044442427,322
CFT,2813478.6080595027,268
oIUSDC,386962.003929,202
oUSDS,600236.0336440745,193
IUSDT,58608.962019,147
dUSDS,180126.94040062476,105
dIUSDC,175199.513412,96
oOMM,522496.13143316656,91
TAP,3154445.7651793337,74
oBALN,329066.111943694,63
UP,11.917388003252416,50
dBALN,28702.14831676693,34
ICXIOU,43002.69823998,13
LDX,3500.0,3
OMMWT,17.625,1
WOK,1200.0,1
