IRC Token,Amount,No. of Transactions
bnUSD,10290642.972321637,12634
sICX,12947027.909399552,11462
OMM,5030931.330868366,9090
BALN,835749.0884035873,7401
USDS,2684358.5178295276,4281
IUSDC,7103871.889858,4255
METX,19087133.02811948,3635
LDX,426278.3458925913,3273
CFT,3648465.818811363,1206
PGT,6000.0067691824315,1153
IUSDT,1534876.643439,1127
GBET,183823.0,452
oUSDS,688426.8335634419,403
oIUSDC,2017007.4827339998,382
oICX,2511039.8047189484,279
dIUSDC,918304.422447,223
UP,5.352734971941518,135
dUSDS,416422.8345499038,93
TAP,1026394.6268853869,75
SEED,143.714216,68
ICXIOU,5339.34186055,11
ACT,600.0,6
IAM,0.6157193545559544,2
EPX,2.08,2
IWIN,2.0769,1
HGC,500.0,1
