IRC Token,Amount,No. of Transactions
bnUSD,10928148.570300609,17627
sICX,9001971.106330577,16961
OMM,2508646.8577223495,4423
BALN,1169199.8063937086,4197
IUSDC,4656003.913957,2735
USDS,5287485.316985654,2485
METX,1813965.0937568496,2182
IUSDT,165469.277185,785
CFT,221614.24314641298,719
PGT,3000.0003470868323,568
oICX,1163195.0946043767,321
oUSDS,1756595.2114450375,280
oIUSDC,1322165.489905,274
GBET,67405.0,213
dIUSDC,554841.330099,170
dUSDS,1251645.1171405364,82
UP,1.339097254883976,67
TAP,453874.33845405944,53
SEED,34.050493,34
LDX,6000.0,12
ACT,600.0,6
IAM,34.84687740309868,1
