IRC Token,Amount,No. of Transactions
OMM,5669301.8287224425,25353
sICX,18461655.14262424,16903
IUSDC,16522032.466724,15921
bnUSD,11186351.240889197,12959
BALN,1368591.480768932,7592
USDS,12555218.709218113,5183
oIUSDC,4648038.574471,3164
PGT,3000.384879859086,2074
oUSDS,4314874.818029523,1444
oICX,4682887.210428324,1361
METX,253996.8412258682,831
dIUSDC,3130419.162866,804
dUSDS,3361484.605701569,722
UP,1145.8449921866456,142
TAP,2994009.526967413,102
SEED,14327.591864,70
LDX,3372.0,36
ACT,1200.0,12
HGC,17750.0,5
EPX,2.6,3
ICXIOU,1844.0006999900002,2
IAM,61.13686862138843,1
