IRC Token,Amount,No. of Transactions
bnUSD,13694499.891232144,10455
sICX,6889790.7088647345,9743
BALN,1081303.8759468936,4081
OMM,3538028.0161694186,3170
USDS,1529281.8875050826,1579
IUSDC,1100259.500653,1509
METX,1947834.1284787264,1409
PGT,3000.0,497
oICX,968526.6362197489,222
CFT,143948.9270857824,188
obnUSD,968803.6433626964,187
oIUSDC,320222.57325300004,177
IUSDT,3428690.124702,134
GBET,9325.0,106
oUSDS,359368.189480604,100
IWIN,21.008399999999998,84
dbnUSD,130867.17023953726,74
dUSDS,256266.9932033834,58
TAP,1607195.1401769426,57
dIUSDC,47333.053252,46
UP,6.433758943025779,34
ICXIOU,27370.42083599,15
LDX,1.0,3
ACT,200.0,2
HGC,22500.0,2
SSX,3000.0,1
SEED,11.086903,1
