IRC Token,Amount,No. of Transactions
BALN,349903.37494822097,3484
sICX,1994537.3043588607,2278
IAM,8445.173448386822,2023
PGT,3000.000000000002,1841
bnUSD,605714.6006437016,1686
METX,554323.5933795198,830
IWIN,632.4229000000051,677
UP,86.47587895638902,127
TAP,781560.0788982606,61
ACT,2865.0,45
SEED,13103.693697,35
EPX,874.8964199999999,16
LDX,18101.0,14
ICXIOU,8010.29493,2
JJT,3.0,1
IETH,0.008064538960971576,1
USDS,20.0,1
HGC,1000.0,1
uETH,0.4108224771593513,1
uSEED,4.091257843968e-06,1
uTAP,169.7749542960672,1
uUP,141.14807135669446,1
