IRC Token,Amount,No. of Transactions
sICX,5048125.666901689,5056
bnUSD,2219870.484447416,3452
BALN,601479.6310611935,2467
IWIN,3332.2653999999998,1875
OMM,1700713.096072312,1397
METX,3580748.6663682326,1149
GBET,581566.2675028046,877
CFT,6740600.636119549,848
IUSDC,462137.275876,514
USDS,169347.50383341705,451
FIN,18194.983833965933,383
finICX,406904.39425068046,306
LDX,928665.2009239052,256
oICX,681063.66648132,149
TAP,1444955.4989649756,94
oOMM,22622.07498226431,90
obnUSD,211783.9395546884,76
IAM,7558.775223872598,72
dbnUSD,53606.791775859805,64
oIUSDC,118908.327333,61
UP,6.4487869375930424,47
oUSDS,35711.475253191325,37
IUSDT,4.243031,29
oBALN,75917.15975453949,26
dIUSDC,25216.271305000002,18
dBALN,24302.621507359625,11
CHKN,7.063412702653412,10
dUSDS,1888.433149929688,9
CODA,255.74963381807567,6
HGC,2500.0,1
