IRC Token,Amount,No. of Transactions
sICX,4539190.946126416,5014
bnUSD,3099501.680459322,4910
BALN,731020.1603666368,3344
OMM,2659367.5506410003,2501
METX,3236339.7413879903,1286
GBET,5347014.215450672,1200
IUSDC,2030393.563519,1152
USDS,1965636.2502211796,923
PGT,3000.0,480
CFT,4290895.901330608,428
oIUSDC,667480.844023,173
oICX,498613.4655549741,170
oUSDS,544529.469564975,137
obnUSD,288993.025520148,119
dUSDS,492456.11135012447,82
dbnUSD,43587.89022832501,71
dIUSDC,159412.177558,68
TAP,3694251.9635892063,67
IUSDT,6.534749,65
UP,14.396891728888345,55
LDX,5500.0,6
ICXIOU,3853.56174,4
uMETX,311.04457855301615,2
ACT,100.0,1
SEED,0.212277,1
HGC,8000.0,1
uTAP,0.124066091971468,1
