P-Reps,prep_ranking,stagnant_votes_30_days,stagnant_votes_60_days,stagnant_votes_90_days
ICON BOOM,99,22288.148985844662,19386.841185844656,16938.86558584466
Yudus Lab,100,185624.51309952533,184218.8769,184015.5392
RemICX,101,3863.4997025900293,3482.4043025900296,599.115
Icon Panda,102,100072.14748458078,96919.95188862097,35248.92641278568
HypoICON,103,135113.26474103663,17156.8385410366,1370.8193087204588
ICX FREEZER,104,95345.42735180729,90712.7742,88837.7427
InfStones,105,123554.0416852482,122485.75070000003,109442.4263
Gilga Capital,106,55246.75770622778,31625.2368,21576.180800000002
loop57,107,84943.94944943125,84249.16403050811,37303.128742539804
ICXmerch,108,7187.392796887166,5538.758328329752,3175.3935999999994
A_Block,109,40426.52537073875,30432.594670738756,3079.1660042387543
Sesameseed,110,7387.331694696253,2893.2184153455496,408.77551534554897
FOCUS,111,52380.31862955977,48552.9732,39739.687099999996
X-node,112,17318.823988926102,14721.807186934075,5237.700786934075
ICONIST VOTE WISELY,113,37739.60904459328,37558.59044459328,36135.13594459328
iccc node,114,5244.171396200338,4592.787777420559,4215.775577420559
manifest-icon,115,15081.332271833511,8768.829071833512,5956.098771833512
FOMO MASTERNODE,116,20265.435969055263,13966.810469055257,9246.923079514816
DFG Crypto,117,5938.1185,5016.471299999999,650.6800999999999
HASHRATE PLUS,118,18937.973866311215,7219.8335,4756.873699999999
Nodeasy.com,119,3089.959187208673,2935.600287208673,616.7569872086726
IFnLIFE,120,17958.251600000003,17247.5151,2822.6823
Noris [New Node],121,10515.980300000001,4293.1464000000005,915.0718999999999
Xangle,122,12779.71823433564,7294.1487,6762.7586
MW node,123,17710.1673,7486.6124,7366.6224
neo_icon,124,8835.311500000002,7230.640399999999,3296.5596000000005
Bit Cat,125,4004.1624398152685,1700.0342398152682,656.5338398152685
mirai,126,3511.4680000000003,1311.4801,172.7828
Azabu Research,127,9896.795507999997,6960.870908000001,5641.742908000001
PakChina,128,7883.590900000001,4962.5153,3767.4303999999997
nel node,129,4252.6275000000005,4201.688700000001,3063.1492000000003
Common Computer Online,130,4850.02402137949,1884.2903999999999,1450.4498
Cobo ICON,131,2068.052783080212,961.6195349189755,769.4721349189756
OZYS node,132,219.6791,0.0,0.0
