P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,2544,6032,25807648.874064032,49202823.71684053,317821854.63602006,317826173.01421994,1,2020-10-29
ICX_Station,2076,4885,7535479.324201038,20388510.468296934,317821854.63602006,317826173.01421994,2,2020-10-29
VELIC,1750,3877,5655819.345410126,18671815.457988255,317821854.63602006,317826173.01421994,3,2020-10-29
ICONation,1709,4062,3563271.5532539375,14502672.236000342,317821854.63602006,317826173.01421994,4,2020-10-29
Ubik Capital,1670,3759,4550320.356804832,14258484.780963277,317821854.63602006,317826173.01421994,5,2020-10-29
RHIZOME,1273,3124,3256814.263864575,12527128.475442562,317821854.63602006,317826173.01421994,6,2020-10-29
ICON Hyperconnect,343,1397,1113440.7113646101,11834516.986402187,317821854.63602006,317826173.01421994,7,2020-10-29
ICONbet Community,139,700,1315054.7531261833,9581734.694468727,317821854.63602006,317826173.01421994,8,2020-10-29
Symmetry SLC,392,941,7745275.000531277,9059268.223842274,317821854.63602006,317826173.01421994,9,2020-10-29
NEOPLY,27,258,7823715.4827999985,8592039.686194139,317821854.63602006,317826173.01421994,10,2020-10-29
Mineable,621,1731,1978337.825383395,7168841.452215824,317821854.63602006,317826173.01421994,11,2020-10-29
Stakin,513,1167,1696610.5626314487,6780809.519395416,317821854.63602006,317826173.01421994,12,2020-10-29
Everstake,403,1065,2938320.609811152,6552017.364223129,317821854.63602006,317826173.01421994,13,2020-10-29
weBloc asia,606,1484,2480609.606292535,6310166.196191067,317821854.63602006,317826173.01421994,14,2020-10-29
ICON DAO,293,943,1881596.703056483,6277083.846148819,317821854.63602006,317826173.01421994,15,2020-10-29
ReliantNode,151,578,1643189.2014410745,5474637.519992371,317821854.63602006,317826173.01421994,16,2020-10-29
iBriz - ICONOsphere,117,369,1788256.7526618121,5238582.385271053,317821854.63602006,317826173.01421994,17,2020-10-29
ICONVIET,390,987,1074829.7737607465,5226761.097704231,317821854.63602006,317826173.01421994,18,2020-10-29
block42,257,764,762585.3231072701,5216900.684882736,317821854.63602006,317826173.01421994,19,2020-10-29
ICONPLUS,97,525,626515.8740876943,5193798.498553063,317821854.63602006,317826173.01421994,20,2020-10-29
PARROT9,87,317,1373609.9754805926,4437920.547616402,317821854.63602006,317826173.01421994,21,2020-10-29
ICON Pinas (Pilipinas),52,333,296860.18539682444,4272014.606723184,317821854.63602006,317826173.01421994,22,2020-10-29
Citadel.one,473,1040,1837615.265286951,4182221.18727169,317821854.63602006,317826173.01421994,23,2020-10-29
Blockmove,156,455,951372.6525395053,3532807.494370029,317821854.63602006,317826173.01421994,24,2020-10-29
Sharpn,181,500,539616.2432442153,3196995.721872047,317821854.63602006,317826173.01421994,25,2020-10-29
InterBlock,118,281,1756485.672134414,3128196.2195773735,317821854.63602006,317826173.01421994,26,2020-10-29
Deblock with STAYGE,217,418,1004962.4596561604,2955036.9691577298,317821854.63602006,317826173.01421994,27,2020-10-29
Catalyst,86,177,73381.44945723205,2726149.649231348,317821854.63602006,317826173.01421994,28,2020-10-29
ICONologist,60,189,107680.00507622176,2288635.4263813323,317821854.63602006,317826173.01421994,29,2020-10-29
Insight,161,394,180314.98168170295,2119377.2750379476,317821854.63602006,317826173.01421994,30,2020-10-29
ICON Forge,34,143,1118258.5021999998,2109602.371797094,317821854.63602006,317826173.01421994,31,2020-10-29
ICONTROL,13,76,222226.9016,2074557.7642391047,317821854.63602006,317826173.01421994,32,2020-10-29
Transform Group,2,54,405319.1568,2036383.9066891123,317821854.63602006,317826173.01421994,33,2020-10-29
Bara-Node,18,40,15804.657441719999,1900469.4440928192,317821854.63602006,317826173.01421994,34,2020-10-29
Midos,9,82,13596.859600000002,1820732.3761440052,317821854.63602006,317826173.01421994,35,2020-10-29
Orangebloc,16,40,1765504.9267999998,1778225.2677984633,317821854.63602006,317826173.01421994,36,2020-10-29
MinerGate,77,159,1431799.866526049,1712160.0560138302,317821854.63602006,317826173.01421994,37,2020-10-29
ICONoscope,45,93,21595.28717544031,1674507.6297016332,317821854.63602006,317826173.01421994,38,2020-10-29
MouseBelt | Multi.io,86,186,1175758.3662675188,1671027.4466771751,317821854.63602006,317826173.01421994,39,2020-10-29
Hourglass,16,47,1567185.6173,1575462.9707754264,317821854.63602006,317826173.01421994,40,2020-10-29
Cardinal,22,46,1486074.2120259996,1554184.999745811,317821854.63602006,317826173.01421994,41,2020-10-29
ICON Sweden,254,509,756440.9297661749,1543004.32326058,317821854.63602006,317826173.01421994,42,2020-10-29
StakingTeam,72,197,178748.40919193692,1527067.5757178047,317821854.63602006,317826173.01421994,43,2020-10-29
DEMOS,58,139,894052.3214999998,1344504.43104963,317821854.63602006,317826173.01421994,44,2020-10-29
OneLife 9to5,16,44,11847.2822,1244405.081218593,317821854.63602006,317826173.01421994,45,2020-10-29
Newroad,116,267,340333.30095243274,1059329.5603746818,317821854.63602006,317826173.01421994,46,2020-10-29
Silicon Valley ICON,49,148,194086.0295561099,1057577.8103577178,317821854.63602006,317826173.01421994,47,2020-10-29
ICON Labs,72,204,278162.6489602332,974211.5746773737,317821854.63602006,317826173.01421994,48,2020-10-29
Chainode Tech,95,225,209338.94718829758,958225.1120736798,317821854.63602006,317826173.01421994,49,2020-10-29
Metanyx,54,153,563218.5118083663,929789.2830596669,317821854.63602006,317826173.01421994,50,2020-10-29
ICONNECT-Global,66,147,706537.0153242453,925425.0396862782,317821854.63602006,317826173.01421994,51,2020-10-29
ICX_Stratos,19,47,793756.7596975804,892398.9656743323,317821854.63602006,317826173.01421994,52,2020-10-29
ICX Australia,213,406,415560.8276494244,864698.7066603721,317821854.63602006,317826173.01421994,53,2020-10-29
Blockchain at Berkeley,141,317,303665.48768956214,862118.1432542696,317821854.63602006,317826173.01421994,54,2020-10-29
RHYTHM (Australia),26,90,29971.0471047275,803455.8441648085,317821854.63602006,317826173.01421994,55,2020-10-29
HOLA ICON,30,112,232255.23958226506,790183.9941434948,317821854.63602006,317826173.01421994,56,2020-10-29
ICX Belgium,33,122,51711.154995878605,767873.7313008311,317821854.63602006,317826173.01421994,57,2020-10-29
Alice,24,51,14312.962773900003,756246.043180889,317821854.63602006,317826173.01421994,58,2020-10-29
iconic innovation,42,98,459414.75767082185,705314.6870178691,317821854.63602006,317826173.01421994,59,2020-10-29
Progression,19,56,30223.155300000002,687450.9184079629,317821854.63602006,317826173.01421994,60,2020-10-29
ICON Russia,15,65,92836.44213254725,670714.4708216914,317821854.63602006,317826173.01421994,61,2020-10-29
Signal9,163,361,161362.3966506729,658919.3465519827,317821854.63602006,317826173.01421994,62,2020-10-29
The Iconist,62,234,138402.26197569893,636339.4322510094,317821854.63602006,317826173.01421994,63,2020-10-29
Iconserve,33,90,17563.98290555029,634774.9113306982,317821854.63602006,317826173.01421994,64,2020-10-29
ICON Chicago,38,116,49424.17654905197,625165.3225895243,317821854.63602006,317826173.01421994,65,2020-10-29
Piconbello,71,169,91756.90396815653,612743.993466144,317821854.63602006,317826173.01421994,66,2020-10-29
Foundry Box Media,31,95,269772.7265,566391.2593026638,317821854.63602006,317826173.01421994,67,2020-10-29
ICON4Education,34,121,15869.836358357741,562040.1905559176,317821854.63602006,317826173.01421994,68,2020-10-29
Hermes Greece,17,66,141119.49670015843,557051.5960504559,317821854.63602006,317826173.01421994,69,2020-10-29
POCKET / FIGMENT,111,211,337784.0016,550078.2620176254,317821854.63602006,317826173.01421994,70,2020-10-29
ICX Malta,22,66,13699.317592933681,520232.1477997313,317821854.63602006,317826173.01421994,71,2020-10-29
ICON Spark,34,94,14934.190950498943,517024.26713237714,317821854.63602006,317826173.01421994,72,2020-10-29
Espanicon,23,91,113706.02540000003,513888.8599991801,317821854.63602006,317826173.01421994,73,2020-10-29
Blockheads Development,80,154,216137.78385664284,466596.4595015879,317821854.63602006,317826173.01421994,74,2020-10-29
UNBLOCK,48,164,127507.49156330121,455580.5975584422,317821854.63602006,317826173.01421994,75,2020-10-29
