P-Reps,prep_total_votes,prep_ranking,total_voter_count
ICON Foundation,49202823.71684053,1,6032
ICX_Station,20388510.468296934,2,4885
VELIC,18671815.457988255,3,3877
ICONation,14502672.236000342,4,4062
Ubik Capital,14258484.780963277,5,3759
RHIZOME,12527128.475442562,6,3124
ICON Hyperconnect,11834516.986402187,7,1397
ICONbet Community,9581734.694468727,8,700
Symmetry SLC,9059268.223842274,9,941
NEOPLY,8592039.686194139,10,258
Mineable,7168841.452215824,11,1731
Stakin,6780809.519395416,12,1167
Everstake,6552017.364223129,13,1065
weBloc asia,6310166.196191067,14,1484
ICON DAO,6277083.846148819,15,943
ReliantNode,5474637.519992371,16,578
iBriz - ICONOsphere,5238582.385271053,17,369
ICONVIET,5226761.097704231,18,987
block42,5216900.684882736,19,764
ICONPLUS,5193798.498553063,20,525
PARROT9,4437920.547616402,21,317
ICON Pinas (Pilipinas),4272014.606723184,22,333
Citadel.one,4182221.18727169,23,1040
Blockmove,3532807.494370029,24,455
Sharpn,3196995.721872047,25,500
InterBlock,3128196.2195773735,26,281
Deblock with STAYGE,2955036.9691577298,27,418
Catalyst,2726149.649231348,28,177
ICONologist,2288635.4263813323,29,189
Insight,2119377.2750379476,30,394
ICON Forge,2109602.371797094,31,143
ICONTROL,2074557.7642391047,32,76
Transform Group,2036383.9066891123,33,54
Bara-Node,1900469.4440928192,34,40
Midos,1820732.3761440052,35,82
Orangebloc,1778225.2677984633,36,40
MinerGate,1712160.0560138302,37,159
ICONoscope,1674507.6297016332,38,93
MouseBelt | Multi.io,1671027.4466771751,39,186
Hourglass,1575462.9707754264,40,47
Cardinal,1554184.999745811,41,46
ICON Sweden,1543004.32326058,42,509
StakingTeam,1527067.5757178047,43,197
DEMOS,1344504.43104963,44,139
OneLife 9to5,1244405.081218593,45,44
Newroad,1059329.5603746818,46,267
Silicon Valley ICON,1057577.8103577178,47,148
ICON Labs,974211.5746773737,48,204
Chainode Tech,958225.1120736798,49,225
Metanyx,929789.2830596669,50,153
ICONNECT-Global,925425.0396862782,51,147
ICX_Stratos,892398.9656743323,52,47
ICX Australia,864698.7066603721,53,406
Blockchain at Berkeley,862118.1432542696,54,317
RHYTHM (Australia),803455.8441648085,55,90
HOLA ICON,790183.9941434948,56,112
ICX Belgium,767873.7313008311,57,122
Alice,756246.043180889,58,51
iconic innovation,705314.6870178691,59,98
Progression,687450.9184079629,60,56
ICON Russia,670714.4708216914,61,65
Signal9,658919.3465519827,62,361
The Iconist,636339.4322510094,63,234
Iconserve,634774.9113306982,64,90
ICON Chicago,625165.3225895243,65,116
Piconbello,612743.993466144,66,169
Foundry Box Media,566391.2593026638,67,95
ICON4Education,562040.1905559176,68,121
Hermes Greece,557051.5960504559,69,66
POCKET / FIGMENT,550078.2620176254,70,211
ICX Malta,520232.1477997313,71,66
ICON Spark,517024.26713237714,72,94
Espanicon,513888.8599991801,73,91
Blockheads Development,466596.4595015879,74,154
UNBLOCK,455580.5975584422,75,164
ICON Thailand,434705.04037738894,76,85
ICON USA,423567.36080714205,77,141
Transcranial Solutions,421134.07910306857,78,53
DRAICON BALL,409951.0843491221,79,119
ICON Oasis,408688.79281653464,80,93
Wetez,396912.9030904762,81,39
ICON-NYC,388733.905541966,82,100
ICONSG,347997.68916086457,83,49
ICON London,346695.1854455611,84,143
Icon-4-Business,330496.594709286,85,79
Staked,316876.9352499762,86,195
ICONLEO,316198.7802805749,87,41
GagarinCrypto,309501.2899,88,31
Plan-P,308197.99082407885,89,61
Staked Tech,305650.5776806042,90,83
ICON Guide Star,282989.99190065917,91,70
ICON Econ,269305.0757788228,92,80
DSNC,254633.1929157259,93,71
Sunrise,247162.75140934964,94,67
Sicko Node,230882.6045426891,95,54
icon-node-NL,222559.75077806492,96,63
DELIGHT,219028.08389587287,97,81
Frontlines Media,212729.76323974668,98,36
ICON BOOM,202021.0749582125,99,75
Yudus Lab,192988.99339952532,100,18
RemICX,176278.210058151,101,36
Icon Panda,163589.67111226113,102,49
HypoICON,155143.67552060023,103,60
ICX FREEZER,147814.76450038163,104,76
InfStones,139214.6138852482,105,67
Gilga Capital,126360.68962791434,106,84
loop57,116351.81996809291,107,47
ICXmerch,98314.77062555403,108,44
A_Block,92657.31054839036,109,73
Sesameseed,80592.95735735889,110,46
FOCUS,71711.74067156599,111,52
X-node,65674.1880663186,112,64
ICONIST VOTE WISELY,48640.153984593286,113,29
iccc node,47953.36964608289,114,26
manifest-icon,44545.69819137227,115,50
FOMO MASTERNODE,43408.596596430485,116,59
DFG Crypto,34863.8185,117,30
HASHRATE PLUS,34263.63522462792,118,66
Nodeasy.com,33245.77790038337,119,23
IFnLIFE,28929.75881983359,120,36
Noris [New Node],28902.297599999994,121,35
Xangle,27105.790134247418,122,47
MW node,26657.4801,123,17
neo_icon,26325.712330090573,124,44
Bit Cat,22238.855360981408,125,36
mirai,19770.408051175807,126,22
Azabu Research,19295.684208,127,51
PakChina,16620.317600000002,128,38
nel node,15498.109432238152,129,26
Common Computer Online,15080.258819313038,130,27
Cobo ICON,9110.445283080213,131,31
OZYS node,4318.378200000001,132,11
