P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,1819,6032,21781591.088361636,49202823.71684053,315785470.72933096,317826173.01421994,1,2020-10-29
ICX_Station,1519,4885,5609252.703431796,20388510.468296934,315785470.72933096,317826173.01421994,2,2020-10-29
VELIC,1271,3877,4148565.2099266364,18671815.457988255,315785470.72933096,317826173.01421994,3,2020-10-29
ICONation,1189,4062,2117298.170662577,14502672.236000342,315785470.72933096,317826173.01421994,4,2020-10-29
Ubik Capital,1228,3759,2709693.8148509534,14258484.780963277,315785470.72933096,317826173.01421994,5,2020-10-29
RHIZOME,897,3124,1505267.9324260212,12527128.475442562,315785470.72933096,317826173.01421994,6,2020-10-29
ICON Hyperconnect,184,1397,471634.8509427198,11834516.986402187,315785470.72933096,317826173.01421994,7,2020-10-29
ICONbet Community,85,700,1015517.0541261833,9581734.694468727,315785470.72933096,317826173.01421994,8,2020-10-29
Symmetry SLC,278,941,7584293.096739626,9059268.223842274,315785470.72933096,317826173.01421994,9,2020-10-29
NEOPLY,1,258,2.3083,8592039.686194139,315785470.72933096,317826173.01421994,10,2020-10-29
Mineable,411,1731,1243705.616976759,7168841.452215824,315785470.72933096,317826173.01421994,11,2020-10-29
Stakin,368,1167,881680.2080787006,6780809.519395416,315785470.72933096,317826173.01421994,12,2020-10-29
Everstake,267,1065,2358595.0709200404,6552017.364223129,315785470.72933096,317826173.01421994,13,2020-10-29
weBloc asia,415,1484,1984556.9687054201,6310166.196191067,315785470.72933096,317826173.01421994,14,2020-10-29
ICON DAO,181,943,1536617.2470907327,6277083.846148819,315785470.72933096,317826173.01421994,15,2020-10-29
ReliantNode,98,578,1428542.0236583094,5474637.519992371,315785470.72933096,317826173.01421994,16,2020-10-29
iBriz - ICONOsphere,82,369,1671534.6950168682,5238582.385271053,315785470.72933096,317826173.01421994,17,2020-10-29
ICONVIET,278,987,836832.5268643409,5226761.097704231,315785470.72933096,317826173.01421994,18,2020-10-29
block42,166,764,470928.5099640945,5216900.684882736,315785470.72933096,317826173.01421994,19,2020-10-29
ICONPLUS,51,525,369514.59317765036,5193798.498553063,315785470.72933096,317826173.01421994,20,2020-10-29
PARROT9,53,317,1174806.227784855,4437920.547616402,315785470.72933096,317826173.01421994,21,2020-10-29
ICON Pinas (Pilipinas),29,333,208105.52775592217,4272014.606723184,315785470.72933096,317826173.01421994,22,2020-10-29
Citadel.one,339,1040,1455494.9678489852,4182221.18727169,315785470.72933096,317826173.01421994,23,2020-10-29
Blockmove,106,455,320640.3205864565,3532807.494370029,315785470.72933096,317826173.01421994,24,2020-10-29
